Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Santos,281.033,418608.0,1489.53,55508.46
São Bento do Sapucaí,252.579,11674.0,46.22,37283.14
São Bernardo do Campo,409.532,810729.0,1979.65,68571.36
São Caetano do Sul,15.331,165655.0,10805.23,95640.71
São Carlos,1136.907,254857.0,224.17,55044.88
São Francisco,75.579,2602.0,34.43,18189.76
São João da Boa Vista,516.399,92547.0,179.22,44794.34
São João das Duas Pontes,129.462,2580.0,19.93,20591.79
São João de Iracema,178.396,1846.0,10.35,26507.78
São João do Pau d'Alho,117.665,2242.0,19.05,27920.27
São Joaquim da Barra,410.863,48558.0,118.19,41547.41
São José da Bela Vista,276.952,7626.0,27.54,25749.88
São José do Barreiro,570.685,3853.0,6.75,15297.56
São José do Rio Pardo,419.684,52205.0,124.39,42952.13
São José do Rio Preto,431.944,480393.0,1112.17,44679.93
São José dos Campos,1099.409,697054.0,634.03,61315.88
São Lourenço da Serra,186.456,16067.0,86.17,17697.76
São Luiz do Paraitinga,617.315,10337.0,16.75,19098.4
São Manuel,650.734,37289.0,57.3,32463.42
São Miguel Arcanjo,930.339,32039.0,34.44,28853.83
São Paulo,1521.202,11451999.0,7528.26,66872.84
São Pedro,611.278,38256.0,62.58,24418.31
São Pedro do Turvo,731.221,7217.0,9.87,30342.39
São Roque,306.908,79484.0,258.98,37074.85
São Sebastião,402.395,81595.0,202.77,174696.31
São Sebastião da Grama,252.41,10441.0,41.37,35304.59
São Simão,617.252,13442.0,21.78,32456.75
São Vicente,148.151,329911.0,2226.86,16506.51
Sarapuí,352.592,10369.0,29.41,19433.04
Sarutaiá,141.608,3704.0,26.16,26651.32
Sebastianópolis do Sul,167.848,3130.0,18.65,116133.14
Serra Azul,283.144,12746.0,45.02,12785.98
Serrana,126.046,43909.0,348.36,29221.73
Serra Negra,203.734,29894.0,146.73,28485.03
Sertãozinho,403.089,126887.0,314.79,55352.42
Sete Barras,1062.699,12730.0,11.98,29783.21
Severínia,140.46,14576.0,103.77,15258.78
Silveiras,414.782,6186.0,14.91,14518.99
Socorro,449.029,40122.0,89.35,26870.22
Sorocaba,449.872,723682.0,1608.64,64046.61
Sud Mennucci,594.744,7355.0,12.37,29307.88
Sumaré,153.465,279545.0,1821.56,55816.79
Suzano,206.236,307429.0,1490.67,48818.92
Suzanápolis,330.587,3408.0,10.31,84169.56
Tabapuã,345.792,11323.0,32.75,22859.37
Tabatinga,368.604,14769.0,40.07,20278.99
Taboão da Serra,20.388,273542.0,13416.81,34588.58
Taciba,607.267,6260.0,10.31,29259.48
Taguaí,145.332,12669.0,87.17,23824.33
Taiaçu,107.059,5677.0,53.03,17319.16
Taiúva,132.459,6548.0,49.43,25108.07
Tambaú,561.788,21435.0,38.15,30119.07
Tanabi,747.218,25265.0,33.81,50458.24
Tapiraí,755.1,7996.0,10.59,23966.14
Tapiratiba,221.891,11816.0,53.25,23275.49
Taquaral,53.892,2619.0,48.6,16647.2
Taquaritinga,594.335,52260.0,87.93,28846.24
Taquarituba,448.515,24350.0,54.29,42424.52
Taquarivaí,231.792,6876.0,29.66,61548.88
Tarabai,201.385,6536.0,32.46,22125.16
Tarumã,302.913,14882.0,49.13,58396.99
Tatuí,523.749,123942.0,236.64,40892.85
Taubaté,625.003,310739.0,497.18,50495.56
Tejupá,296.189,4127.0,13.93,31023.44
Teodoro Sampaio,1555.803,22173.0,14.25,26801.81
Terra Roxa,221.541,7904.0,35.68,18410.36
Tietê,404.396,37663.0,93.13,50258.52
Timburi,196.79,2464.0,12.52,25047.71
Torre de Pedra,71.348,2046.0,28.68,15524.93
Torrinha,315.267,9335.0,29.61,28177.45
Trabiju,63.421,1682.0,26.52,25639.0
Tremembé,191.094,51173.0,267.79,18591.56
Três Fronteiras,151.594,6804.0,44.88,20839.4
Tuiuti,126.731,6778.0,53.48,25756.65
Tupã,627.986,63928.0,101.8,33732.18
Tupi Paulista,244.77,15854.0,64.77,21720.31
Turiúba,153.235,1818.0,11.86,27877.78
Turmalina,147.797,1669.0,11.29,44206.07
Ubarana,209.861,5365.0,25.56,32774.2
Ubatuba,708.105,92981.0,131.31,29152.88
Ubirajara,282.179,5132.0,18.19,23709.14
Uchoa,252.434,10394.0,41.18,39430.92
União Paulista,79.056,1603.0,20.28,30538.05
Urânia,209.262,8833.0,42.21,31344.02
Uru,146.901,1387.0,9.44,40623.52
Urupês,323.916,13744.0,42.43,34609.7
Valentim Gentil,149.741,14098.0,94.15,31863.26
Valinhos,148.538,126373.0,850.78,59842.76
Valparaíso,857.661,24241.0,28.26,45529.09
Vargem,142.595,10512.0,73.72,14148.82
Vargem Grande do Sul,267.178,40133.0,150.21,29684.07
Vargem Grande Paulista,42.489,50415.0,1186.54,53359.16
Várzea Paulista,35.12,115771.0,3296.44,31913.34
Vera Cruz,247.716,10176.0,41.08,22231.9
Vinhedo,80.95,76540.0,945.52,154054.53
Viradouro,217.726,17414.0,79.98,23190.53
Vista Alegre do Alto,95.429,8109.0,84.97,46388.5
Vitória Brasil,49.832,1794.0,36.0,24394.51
Votorantim,184.186,127923.0,694.53,31487.9
Votuporanga,420.703,96634.0,229.7,40190.41
Zacarias,319.056,2692.0,8.44,46763.19
Chavantes,188.727,12211.0,64.7,21448.28
Estiva Gerbi,74.144,11295.0,152.34,33843.06
Abadia dos Dourados,880.461,6272.0,7.12,25174.26
Abaeté,1817.067,22675.0,12.48,23266.1
Abre Campo,470.551,13927.0,29.6,19553.86
Acaiaca,101.886,3909.0,38.37,16247.06
Açucena,815.422,8943.0,10.97,17888.2
Água Boa,1320.344,12589.0,9.53,14421.07
Água Comprida,492.167,2108.0,4.28,115725.51
Aguanil,232.091,4357.0,18.77,20762.54
Águas Formosas,820.079,18448.0,22.5,14913.12
Águas Vermelhas,1256.607,14037.0,11.17,17329.28
Aimorés,1348.913,25269.0,18.73,25402.54
Aiuruoca,649.68,6233.0,9.59,21608.49
Alagoa,161.356,2749.0,17.04,17958.99
Albertina,58.01,2952.0,50.89,51065.05
Além Paraíba,510.25,30717.0,60.2,27422.83
Alfenas,850.446,78970.0,92.86,43049.74
Alfredo Vasconcelos,130.815,6931.0,52.98,21364.59
Almenara,2294.426,40364.0,17.59,15924.96
Alpercata,166.972,6903.0,41.34,12700.99
Alpinópolis,460.685,18300.0,39.72,26133.79
Alterosa,362.01,13915.0,38.44,20357.31
Alto Caparaó,103.69,5795.0,55.89,16354.23
Alto Rio Doce,518.053,10891.0,21.02,16798.64
Alvarenga,278.175,3975.0,14.29,14445.67
Alvinópolis,599.443,15059.0,25.12,22478.72
Alvorada de Minas,374.008,4159.0,11.12,17990.28
Amparo do Serra,136.186,4541.0,33.34,12045.13
Andradas,469.396,40553.0,86.39,28386.06
Cachoeira de Pajeú,695.672,9110.0,13.1,13262.75
Andrelândia,1005.285,11927.0,11.86,23950.85
Angelândia,185.211,7718.0,41.67,16818.81
Antônio Carlos,529.915,11095.0,20.94,21088.32
Antônio Dias,787.061,9219.0,11.71,96894.13
Antônio Prado de Minas,83.802,1538.0,18.35,18117.22
Araçaí,187.538,2181.0,11.63,25422.8
Aracitaba,106.608,2049.0,19.22,15253.67
Araçuaí,2236.279,34297.0,15.34,14163.67
Araguari,2729.777,117808.0,43.16,49322.18
Arantina,89.42,2915.0,32.6,31861.03
Araponga,303.793,8048.0,26.49,14443.79
Araporã,294.354,8479.0,28.81,185156.76
Arapuá,173.894,2631.0,15.13,60936.37
Araújos,245.522,9199.0,37.47,49809.64
Araxá,1164.062,111691.0,95.95,82570.25
Arceburgo,162.875,9177.0,56.34,31547.24
Arcos,509.873,41416.0,81.23,57713.61
Areado,283.124,13881.0,49.03,20234.71
Argirita,159.378,2688.0,16.87,14954.09
Aricanduva,243.329,4719.0,19.39,12645.43
Arinos,5279.419,17272.0,3.27,17849.84
Astolfo Dutra,158.891,14138.0,88.98,20339.56
Ataléia,1836.925,13736.0,7.48,15926.39
Augusto de Lima,1254.832,4538.0,3.62,18423.57
Baependi,750.554,18366.0,24.47,19795.44
Baldim,556.266,7492.0,13.47,25871.06
Bambuí,1455.819,23546.0,16.17,32549.38
Bandeira,483.789,4741.0,9.8,12476.94
Bandeira do Sul,47.266,5943.0,125.74,14907.61
Barão de Cocais,340.14,30778.0,90.49,73393.52
Barão de Monte Alto,198.313,4964.0,25.03,11883.74
Barbacena,759.186,125317.0,165.07,25335.18
Barra Longa,383.628,5666.0,14.77,16702.85
Barroso,82.07,20080.0,244.67,29022.49
Bela Vista de Minas,109.143,10167.0,93.15,55337.41
Belmiro Braga,393.086,3244.0,8.25,17992.57
Belo Horizonte,331.354,2315560.0,6988.18,41818.32
Belo Oriente,334.909,23928.0,71.45,77527.64
Belo Vale,365.923,8627.0,23.58,36243.16
Berilo,587.106,9826.0,16.74,9551.5
Bertópolis,427.803,4451.0,10.4,11671.08
Berizal,488.756,4201.0,8.6,12734.93
Betim,344.062,411846.0,1197.01,73624.78
Bias Fortes,283.535,3361.0,11.85,12668.63
Bicas,140.082,13978.0,99.78,18998.7
Biquinhas,458.948,2383.0,5.19,25978.67
Boa Esperança,860.669,39848.0,46.3,26261.54
Bocaina de Minas,503.77,5348.0,10.62,15766.67
Bocaiúva,3206.757,48032.0,14.98,24252.97
Bom Despacho,1213.546,51737.0,42.63,35269.0
Bom Jardim de Minas,412.021,6783.0,16.46,19828.35
Bom Jesus da Penha,208.349,4474.0,21.47,45924.06
Bom Jesus do Amparo,195.611,5631.0,28.79,25935.64
Bom Jesus do Galho,592.289,14536.0,24.54,11568.99
Bom Repouso,229.845,12649.0,55.03,15221.01
Bom Sucesso,705.046,17151.0,24.33,25271.28
Bonfim,301.865,7434.0,24.63,19772.69
Bonfinópolis de Minas,1850.487,5528.0,2.99,84995.13
Bonito de Minas,3936.455,10204.0,2.59,8784.49
Borda da Mata,301.108,17404.0,57.8,18923.96
Botelhos,334.089,14828.0,44.38,21834.65
Botumirim,1568.884,5790.0,3.69,12103.05
Brasilândia de Minas,2509.694,15020.0,5.98,24489.37
Brasília de Minas,1399.484,32025.0,22.88,11627.4
Brás Pires,223.351,4260.0,19.07,11758.46
Braúnas,378.318,4441.0,11.74,44982.9
Brazópolis,367.688,14246.0,38.74,13786.69
Brumadinho,639.434,38915.0,60.86,112233.99
Bueno Brandão,356.15,10911.0,30.64,21921.18
Buenópolis,1599.881,9150.0,5.72,17474.86
Bugre,161.491,4041.0,25.02,11937.36
Buritis,5225.186,24030.0,4.6,46229.61
Buritizeiro,7218.401,23910.0,3.31,26118.73
Cabeceira Grande,1033.055,6627.0,6.41,67955.62
Cabo Verde,368.206,11410.0,30.99,20665.25
Cachoeira da Prata,61.381,3693.0,60.17,14487.2
Cachoeira de Minas,304.243,11883.0,39.06,46258.02
Cachoeira Dourada,203.07,2315.0,11.4,99124.77
Caetanópolis,156.039,11435.0,73.28,26561.99
Caeté,542.531,38776.0,71.47,23695.84
Caiana,106.465,5304.0,49.82,15876.73
Cajuri,83.038,4088.0,49.23,24569.91
Caldas,711.414,14217.0,19.98,23127.61
Camacho,223.001,2838.0,12.73,24964.43
Camanducaia,528.688,26097.0,49.36,45365.42
Cambuí,244.567,29536.0,120.77,62049.99
Cambuquira,246.38,12313.0,49.98,28950.98
Campanário,442.398,2923.0,6.61,14298.98
Campanha,335.587,15935.0,47.48,26097.7
Campestre,577.843,20696.0,35.82,23104.32
Campina Verde,3650.749,18011.0,4.93,27169.11
Campo Azul,505.914,3714.0,7.34,10616.58
Campo Belo,528.225,52277.0,98.97,22905.64
Campo do Meio,275.426,11377.0,41.31,19843.07
Campo Florido,1264.245,8466.0,6.7,84803.44
Campos Altos,710.645,12979.0,18.26,27730.44
Campos Gerais,769.504,26105.0,33.92,24372.14
Canaã,174.9,4715.0,26.96,17088.06
Canápolis,843.599,10608.0,12.57,55343.4
Cana Verde,212.721,5272.0,24.78,14348.74
Candeias,720.512,14001.0,19.43,24926.08
Cantagalo,141.855,3974.0,28.01,12406.75
Caparaó,130.694,5048.0,38.62,17866.83
Capela Nova,111.073,4362.0,39.27,13534.64
Capelinha,965.292,39626.0,41.05,23174.33
Capetinga,297.937,6562.0,22.02,30215.68
Capim Branco,95.333,10663.0,111.85,12467.57
Capinópolis,620.716,14655.0,23.61,40910.84
Capitão Andrade,279.088,4585.0,16.43,10939.49
Capitão Enéas,971.576,14108.0,14.52,32591.49
Capitólio,521.802,10380.0,19.89,37783.2
Caputira,187.704,8936.0,47.61,15427.23
Caraí,1242.345,19548.0,15.73,8814.85
Caranaíba,159.95,2933.0,18.34,13169.27
Carandaí,487.28,23812.0,48.87,29108.4
Carangola,353.404,31240.0,88.4,19358.62
Caratinga,1258.479,87360.0,69.42,24518.79
Carbonita,1456.095,8512.0,5.85,23419.5
Careaçu,181.009,6816.0,37.66,25519.59
Carlos Chagas,3202.984,18615.0,5.81,25642.26
Carmésia,259.103,2605.0,10.05,14958.01
Carmo da Cachoeira,506.333,11547.0,22.81,26379.28
Carmo da Mata,357.178,11019.0,30.85,23014.9
Carmo de Minas,322.285,13797.0,42.81,19322.94
Carmo do Cajuru,455.808,23479.0,51.51,27469.01
Carmo do Paranaíba,1307.862,29011.0,22.18,34945.92
Carmo do Rio Claro,1065.685,20954.0,19.66,32595.84
Carmópolis de Minas,400.01,18003.0,45.01,23365.28
Carneirinho,2063.462,9422.0,4.57,40332.68
Carrancas,727.894,4049.0,5.56,43842.86
Carvalhópolis,81.101,3341.0,41.2,19752.88
Carvalhos,282.254,4422.0,15.67,18141.26
Casa Grande,157.727,2214.0,14.04,30760.19
Cascalho Rico,367.308,2712.0,7.38,25741.18
Cássia,665.802,17155.0,25.77,24600.35
Conceição da Barra de Minas,273.014,3560.0,13.04,17449.47
Cataguases,491.767,66261.0,134.74,21748.3
Catas Altas,240.042,5473.0,22.8,920833.97
Catas Altas da Noruega,141.622,3110.0,21.96,11130.5
Catuji,419.38,7030.0,16.76,13420.7
Catuti,287.812,4739.0,16.47,11497.57
Caxambu,100.483,21056.0,209.55,17204.61
Cedro do Abaeté,283.211,1081.0,3.82,19483.63
Central de Minas,204.328,6171.0,30.2,12334.73
Centralina,322.385,10207.0,31.66,33942.79
Chácara,152.807,3075.0,20.12,14661.46
Chalé,212.674,6075.0,28.56,20049.37
Chapada do Norte,830.833,10337.0,12.44,7247.1
Chapada Gaúcha,3255.189,12355.0,3.8,28354.63
Chiador,252.852,2800.0,11.07,14020.88
Cipotânea,153.479,5581.0,36.36,10762.85
Claraval,227.627,4658.0,20.46,37352.16
Claro dos Poções,720.424,7166.0,9.95,11196.9
Cláudio,630.706,30159.0,47.82,38451.85
Coimbra,106.875,7117.0,66.59,18325.94
Coluna,348.492,8163.0,23.42,13756.65
Comendador Gomes,1041.047,2773.0,2.66,49491.51
Comercinho,654.961,6660.0,10.17,10285.11
Conceição da Aparecida,352.521,10371.0,29.42,26487.93
Conceição das Pedras,102.206,2772.0,27.12,21692.56
Conceição das Alagoas,1340.25,28381.0,21.18,45805.26
Conceição de Ipanema,253.935,4409.0,17.36,17685.15
Conceição do Mato Dentro,1720.04,23163.0,13.47,519040.92
Conceição do Pará,250.306,5415.0,21.63,88902.87
Conceição do Rio Verde,369.681,12541.0,33.92,25025.75
Conceição dos Ouros,180.236,10880.0,60.37,18994.87
Cônego Marinho,1610.47,7237.0,4.49,8212.18
Confins,42.355,7350.0,173.53,70734.21
Congonhal,205.125,11083.0,54.03,18053.14
Congonhas,304.067,52890.0,173.94,73709.5
Congonhas do Norte,405.671,4831.0,11.91,9768.27
Conquista,618.363,6694.0,10.83,70049.61
Conselheiro Lafaiete,370.246,131621.0,355.5,23881.55
Conselheiro Pena,1483.883,20824.0,14.03,16708.53
Consolação,89.122,1563.0,17.54,17609.85
Contagem,194.746,621863.0,3193.2,54136.41
Coqueiral,296.163,9023.0,30.47,25735.37
Coração de Jesus,2225.216,25377.0,11.4,10251.33
Cordisburgo,823.654,7547.0,9.16,16419.95
Cordislândia,179.543,3200.0,17.82,32084.04
Corinto,2525.397,23532.0,9.32,25937.03
Coroaci,576.274,10884.0,18.89,12690.02
Coromandel,3313.313,28894.0,8.72,54911.1
Coronel Fabriciano,221.252,104736.0,473.38,18029.42
Coronel Murta,815.413,8200.0,10.06,13016.09
Coronel Pacheco,131.511,2762.0,21.0,19419.15
Coronel Xavier Chaves,140.954,3486.0,24.73,26367.67
Córrego Danta,657.425,2960.0,4.5,52273.69
Córrego do Bom Jesus,123.651,4272.0,34.55,12384.73
Córrego Fundo,101.112,6133.0,60.66,49904.63
Córrego Novo,205.385,2875.0,14.0,14332.74
Couto de Magalhães de Minas,485.654,4245.0,8.74,14262.94
Crisólita,966.202,5265.0,5.45,11215.05
Cristais,628.434,12197.0,19.41,22628.65
Cristália,840.702,5121.0,6.09,9875.05
Cristiano Otoni,132.872,4667.0,35.12,23967.13
Cristina,311.33,10374.0,33.32,22906.28
Crucilândia,167.164,5434.0,32.51,16383.73
Cruzeiro da Fortaleza,187.446,3521.0,18.78,50408.9
Cruzília,522.419,15362.0,29.41,20461.59
Cuparaque,226.75,3983.0,17.57,14734.12
Curral de Dentro,570.95,7406.0,12.97,10226.6
Curvelo,3296.2,80665.0,24.47,27509.61
Datas,310.099,5465.0,17.62,13618.93
Delfim Moreira,408.473,7952.0,19.47,15700.68
Delfinópolis,1378.423,8393.0,6.09,34599.14
Delta,102.784,10494.0,102.1,42456.49
Descoberto,213.168,4928.0,23.12,16206.3
Desterro de Entre Rios,377.165,7653.0,20.29,35948.85
Desterro do Melo,142.279,2994.0,21.04,17657.89
Diamantina,3891.659,47702.0,12.26,20537.92
Diogo de Vasconcelos,165.091,3549.0,21.5,11363.34
Dionísio,339.375,6847.0,20.18,12128.99
Divinésia,116.97,4226.0,36.13,18575.93
Divino,337.776,20706.0,61.3,15957.14
Divino das Laranjeiras,342.249,4178.0,12.21,12416.03
Divinolândia de Minas,133.12,6516.0,48.95,10750.55
Divinópolis,708.115,231091.0,326.35,34355.36
Divisa Alegre,117.802,6321.0,53.66,25656.27
Divisa Nova,216.955,5851.0,26.97,21452.98
Divisópolis,572.926,10213.0,17.83,8178.51
Dom Bosco,817.383,3697.0,4.52,19065.15
Dom Cavati,59.52,4904.0,82.39,13860.37
Dom Joaquim,398.793,4899.0,12.28,15289.15
Dom Silvério,194.972,5228.0,26.81,20648.91
Dom Viçoso,113.921,3095.0,27.17,13052.06
Dona Euzébia,70.231,6093.0,86.76,16492.38
Dores de Campos,124.842,10007.0,80.16,31116.02
Dores de Guanhães,382.124,5029.0,13.16,37105.01
Dores do Indaiá,1111.202,12630.0,11.37,26339.03
Dores do Turvo,231.169,4987.0,21.57,15908.49
Doresópolis,152.912,1461.0,9.55,54667.85
Douradoquara,312.878,1829.0,5.85,41427.06
Durandé,217.461,7817.0,35.95,15560.07
Elói Mendes,499.537,26336.0,52.72,24720.9
Engenheiro Caldas,187.058,13622.0,72.82,13936.2
Engenheiro Navarro,608.306,6354.0,10.45,12715.66
Entre Folhas,85.39,5179.0,60.65,12061.39
Entre Rios de Minas,456.796,14746.0,32.28,17481.31
Ervália,357.489,20255.0,56.66,21529.87
Esmeraldas,909.727,85598.0,94.09,13419.92
Espera Feliz,317.638,24102.0,75.88,16254.21
Espinosa,1868.97,30443.0,16.29,11517.31
Espírito Santo do Dourado,263.879,6611.0,25.05,25854.33
Estiva,243.872,11502.0,47.16,52723.75
Estrela Dalva,131.365,2186.0,16.64,18586.66
Estrela do Indaiá,635.981,2772.0,4.36,47456.81
Estrela do Sul,822.454,6840.0,8.32,43679.34
Eugenópolis,309.395,10801.0,34.91,19487.85
Ewbank da Câmara,103.834,3875.0,37.32,13825.96
Extrema,244.575,53482.0,218.67,362591.97
Fama,86.024,2578.0,29.97,24698.85
Faria Lemos,165.224,3188.0,19.3,20105.49
Felício dos Santos,357.622,5133.0,14.35,15837.34
São Gonçalo do Rio Preto,314.458,3032.0,9.64,15341.2
Felisburgo,596.215,6489.0,10.88,10030.05
Felixlândia,1554.627,13978.0,8.99,18106.34
Fernandes Tourinho,151.875,2789.0,18.36,13101.7
Ferros,1088.791,9590.0,8.81,15447.38
Fervedouro,357.683,10445.0,29.2,14134.11
Florestal,194.242,8045.0,41.42,18785.7
Formiga,1501.915,68248.0,45.44,32581.52
Formoso,3686.004,7949.0,2.16,32101.59
Fortaleza de Minas,218.792,3477.0,15.89,24956.6
Fortuna de Minas,198.709,3093.0,15.57,17170.82
Francisco Badaró,461.481,7366.0,15.96,7546.65
Francisco Dumont,1576.128,4503.0,2.86,14352.6
Francisco Sá,2747.295,23476.0,8.55,17077.75
Franciscópolis,717.087,5034.0,7.02,19449.13
Frei Gaspar,626.672,5640.0,9.0,13674.68
Frei Inocêncio,469.557,8226.0,17.52,15488.87
Frei Lagonegro,167.474,3391.0,20.25,10171.36
Fronteira,199.987,14540.0,72.7,49568.1
Fronteira dos Vales,320.757,4345.0,13.55,10777.9
Fruta de Leite,762.837,4647.0,6.09,8999.57
Frutal,2426.965,58588.0,24.14,40872.58
Funilândia,199.797,4686.0,23.45,18794.03
Galiléia,720.303,6222.0,8.64,16814.67
Gameleiras,1733.203,4793.0,2.77,11278.35
Glaucilândia,145.861,2928.0,20.07,12945.77
Goiabeira,112.443,2830.0,25.17,14670.26
Goianá,152.039,4053.0,26.66,15513.28
Gonçalves,187.353,4727.0,25.23,21624.99
Gonzaga,209.348,5230.0,24.98,11153.48
Gouveia,866.601,11331.0,13.08,16842.21
Governador Valadares,2342.376,257171.0,109.79,26165.06
Grão Mogol,3885.294,13901.0,3.58,48352.82
Grupiara,193.141,1392.0,7.21,31890.41
Guanhães,1075.124,32244.0,29.99,28633.61
Guapé,934.345,13772.0,14.74,27386.89
Guaraciaba,348.596,9753.0,27.98,11179.62
Guaraciama,390.263,5051.0,12.94,15589.72
Guaranésia,294.828,19150.0,64.95,28891.14
Guarani,264.194,7714.0,29.2,19461.62
Guarará,88.655,3149.0,35.52,15349.17
Guarda-Mor,2068.808,6539.0,3.16,114474.42
Guaxupé,286.398,50911.0,177.76,53726.8
Guidoval,158.375,7131.0,45.03,17600.19
Guimarânia,366.833,8478.0,23.11,40063.15
Guiricema,293.578,7778.0,26.49,13793.57
Gurinhatã,1849.137,5192.0,2.81,32779.01
Heliodora,153.95,6134.0,39.84,20150.08
Iapu,340.994,12030.0,35.28,15915.1
Ibertioga,346.24,5198.0,15.01,20716.39
Ibiá,2704.132,22229.0,8.22,60160.3
Ibiaí,874.76,6286.0,7.19,13560.18
Ibiracatu,353.257,5081.0,14.38,9600.19
Ibiraci,562.095,10948.0,19.48,51550.46
Ibirité,72.395,170537.0,2355.65,17407.52
Ibitiúra de Minas,68.316,3365.0,49.26,22201.2
Ibituruna,153.106,2698.0,17.62,19766.09
Icaraí de Minas,625.664,10677.0,17.07,9134.97
Igarapé,110.942,45847.0,413.25,21707.59
Igaratinga,218.343,10830.0,49.6,51874.24
Iguatama,628.2,6826.0,10.87,74348.83
Ijaci,105.246,7003.0,66.54,74228.52
Ilicínea,376.341,12741.0,33.85,21212.04
Imbé de Minas,196.735,6986.0,35.51,14503.11
Inconfidentes,149.611,7301.0,48.8,17947.26
Indaiabira,1004.149,6346.0,6.32,11914.84
Indianópolis,830.03,6171.0,7.43,124934.02
Ingaí,305.591,2580.0,8.44,41544.77
Inhapim,858.024,22692.0,26.45,16852.46
Inhaúma,244.996,6239.0,25.47,22951.75
Inimutaba,527.06,7371.0,13.99,11931.24
Ipaba,113.246,17136.0,151.32,9527.36
Ipanema,456.641,19522.0,42.75,17115.04
Ipatinga,164.884,227731.0,1381.16,65869.82
Ipiaçu,466.02,3775.0,8.1,43292.43
Ipuiúna,298.195,9135.0,30.63,18563.37
Iraí de Minas,356.264,7180.0,20.15,42670.29
Itabira,1253.704,113343.0,90.41,123006.06
Itabirinha,209.034,10362.0,49.57,11723.25
Itabirito,544.027,53365.0,98.09,247940.0
Itacambira,1788.445,4252.0,2.38,11331.15
Itacarambi,1225.273,17208.0,14.04,12454.64
Itaguara,410.468,13846.0,33.73,29790.11
Itaipé,480.829,10463.0,21.76,9419.18
Itajubá,294.835,93073.0,315.68,33630.33
Itamarandiba,2735.573,32948.0,12.04,18431.8
Itamarati de Minas,94.568,3690.0,39.02,15321.0
Itambacuri,1419.209,21042.0,14.83,14696.07
Itambé do Mato Dentro,380.34,2142.0,5.63,17678.0
Itamogi,243.714,10770.0,44.19,23351.61
Itamonte,431.792,14786.0,34.24,74613.56
Itanhandu,143.363,15236.0,106.28,30315.87
Itanhomi,488.843,11128.0,22.76,12341.6
Itaobim,679.024,19151.0,28.2,14701.65
Itapagipe,1802.438,13690.0,7.6,33155.1
Itapecerica,1040.519,21046.0,20.23,28915.19
Itapeva,177.347,12692.0,71.57,85067.72
Itatiaiuçu,295.145,12966.0,43.93,610779.65
Itaú de Minas,153.421,14406.0,93.9,44471.67
Itaúna,495.769,97669.0,197.01,53834.65
Itaverava,284.22,5642.0,19.85,13411.54
Itinga,1649.622,13745.0,8.33,9849.06
Itueta,452.676,6055.0,13.38,20119.67
Ituiutaba,2598.046,102217.0,39.34,35891.17
Itumirim,234.802,6638.0,28.27,15326.47
Iturama,1404.663,38295.0,27.26,50309.34
Itutinga,372.018,4217.0,11.34,46016.16
Jaboticatubas,1114.972,20406.0,18.3,14403.17
Jacinto,1393.609,11042.0,7.92,10680.55
Jacuí,409.229,7495.0,18.31,19619.02
Jacutinga,347.667,25525.0,73.42,43106.68
Jaguaraçu,163.76,3092.0,18.88,34860.43
Jaíba,2635.467,37660.0,14.29,21310.16
Jampruca,517.095,4296.0,8.31,15136.53
Janaúba,2181.319,70699.0,32.41,22157.83
Januária,6661.588,65150.0,9.78,12133.95
Japaraíba,172.141,4506.0,26.18,22937.4
Japonvar,375.181,8127.0,21.66,9688.75
Jeceaba,236.25,6197.0,26.23,407353.2
Jenipapo de Minas,284.453,6100.0,21.44,10214.67
Jequeri,547.897,12419.0,22.67,15840.35
Jequitaí,1268.443,6484.0,5.11,17614.92
Jequitibá,445.03,5883.0,13.22,24253.55
Jequitinhonha,3514.216,24007.0,6.83,10754.52
Jesuânia,153.852,5138.0,33.4,21827.32
Joaíma,1664.19,13888.0,8.35,10509.42
Joanésia,233.292,4329.0,18.56,25154.48
João Monlevade,99.158,80187.0,808.68,59963.67
João Pinheiro,10727.097,46801.0,4.36,44929.59
Joaquim Felício,790.935,3854.0,4.87,15206.06
Jordânia,546.705,10304.0,18.85,9857.64
José Gonçalves de Minas,381.332,3969.0,10.41,11565.81
José Raydan,180.822,4268.0,23.6,14172.89
Josenópolis,541.393,3630.0,6.7,11815.85
Nova União,172.131,5909.0,34.33,18734.56
Juatuba,97.017,30716.0,316.6,51653.48
Juiz de Fora,1435.749,540756.0,376.64,35145.34
Juramento,431.63,3768.0,8.73,11839.64
Juruaia,220.353,11084.0,50.3,25392.25
Juvenília,1064.692,5789.0,5.44,11502.41
Ladainha,866.29,14383.0,16.6,8063.14
Lagamar,1474.562,6631.0,4.5,31961.94
Lagoa da Prata,439.984,51412.0,116.85,37310.73
Lagoa dos Patos,600.547,3313.0,5.52,14675.29
Lagoa Dourada,476.693,12769.0,26.79,26337.64
Lagoa Formosa,840.92,18904.0,22.48,31130.75
Lagoa Grande,1236.301,8969.0,7.25,30214.48
Lagoa Santa,229.409,75145.0,327.56,32802.82
Lajinha,431.92,20835.0,48.24,20069.96
Lambari,213.11,20414.0,95.79,19293.34
Lamim,118.602,3184.0,26.85,15487.44
Laranjal,204.882,5963.0,29.1,13971.34
Lassance,3204.217,7124.0,2.22,29649.11
Lavras,564.744,104761.0,185.5,27818.1
Leandro Ferreira,352.005,3199.0,9.09,17228.55
Leme do Prado,280.036,4341.0,15.5,13448.01
