Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Cássia dos Coqueiros,191.683,2799.0,14.6,117809.94
Castilho,1065.318,19977.0,18.75,64508.48
Catanduva,290.596,115791.0,398.46,42386.42
Catiguá,148.393,7003.0,47.19,19342.42
Cedral,197.838,12618.0,63.78,56401.2
Cerqueira César,511.621,21469.0,41.96,46928.25
Cerquilho,127.803,44695.0,349.72,46293.89
Cesário Lange,190.392,19048.0,100.05,39826.25
Charqueada,175.846,15535.0,88.34,29370.12
Clementina,168.59,6982.0,41.41,20959.14
Colina,422.303,18486.0,43.77,82881.19
Colômbia,728.648,6629.0,9.1,59974.07
Conchal,182.793,28101.0,153.73,30159.5
Conchas,466.12,15232.0,32.68,23872.16
Cordeirópolis,137.579,24514.0,178.18,163554.17
Coroados,246.825,5400.0,21.88,35303.73
Coronel Macedo,303.83,4280.0,14.09,30746.6
Corumbataí,278.622,4195.0,15.06,84731.24
Cosmópolis,154.665,59773.0,386.47,28255.87
Cosmorama,441.68,8719.0,19.74,69530.67
Cotia,323.994,274413.0,846.97,62486.58
Cravinhos,311.423,33281.0,106.87,48891.09
Cristais Paulista,385.23,9272.0,24.07,39369.07
Cruzália,149.33,2108.0,14.12,68116.76
Cruzeiro,305.699,74961.0,245.21,38390.41
Cubatão,142.879,112476.0,787.21,165607.5
Cunha,1407.25,22110.0,15.71,15269.84
Descalvado,753.706,31756.0,42.13,61036.51
Diadema,30.732,393237.0,12795.69,43031.91
Dirce Reis,88.133,1620.0,18.38,38685.19
Divinolândia,223.749,11158.0,49.87,44568.55
Dobrada,149.729,8759.0,58.5,15286.82
Dois Córregos,632.972,24510.0,38.72,30150.85
Dolcinópolis,77.939,2207.0,28.32,27963.37
Dourado,205.874,8096.0,39.33,90318.49
Dracena,487.688,45474.0,93.24,30557.62
Duartina,264.557,12328.0,46.6,20338.59
Dumont,111.376,9471.0,85.04,33647.69
Echaporã,515.258,6205.0,12.04,25295.64
Eldorado,1654.256,13069.0,7.9,21122.95
Elias Fausto,202.36,17699.0,87.46,55521.14
Elisiário,93.98,3138.0,33.39,20323.57
Embaúba,83.129,2323.0,27.94,23385.21
Embu das Artes,70.398,250691.0,3561.05,51258.86
Embu-Guaçu,155.641,66970.0,430.29,20683.01
Emilianópolis,225.167,3014.0,13.39,24451.77
Engenheiro Coelho,109.941,19566.0,177.97,30446.44
Espírito Santo do Pinhal,389.235,39816.0,102.29,46311.65
Espírito Santo do Turvo,193.666,4157.0,21.46,18630.23
Estrela d'Oeste,296.281,9417.0,31.78,89460.5
Estrela do Norte,264.987,2703.0,10.2,22511.33
Euclides da Cunha Paulista,573.894,7924.0,13.81,14708.88
Fartura,429.171,16641.0,38.77,29419.47
Fernandópolis,549.797,71186.0,129.48,35430.06
Fernando Prestes,169.99,5942.0,34.95,35416.65
Fernão,100.504,1656.0,16.48,46552.1
Ferraz de Vasconcelos,29.547,179198.0,6064.85,23863.13
Flora Rica,224.711,1487.0,6.62,30176.19
Floreal,204.236,2733.0,13.38,28393.24
Flórida Paulista,524.138,12958.0,24.72,17731.75
Florínea,225.886,3851.0,17.05,65354.84
Franca,605.679,352536.0,582.05,31450.1
Francisco Morato,49.001,165139.0,3370.11,10439.01
Franco da Rocha,132.775,144849.0,1090.94,27126.51
Gabriel Monteiro,138.681,2763.0,19.92,33755.37
Gália,355.914,6380.0,17.93,26907.52
Garça,555.807,42110.0,75.76,38831.12
Gastão Vidigal,180.569,3252.0,18.01,17476.7
Gavião Peixoto,243.766,4702.0,19.29,244615.79
General Salgado,494.376,10312.0,20.86,25343.09
Getulina,676.755,10232.0,15.12,18806.06
Glicério,272.8,4138.0,15.17,25880.65
Guaiçara,277.154,11239.0,40.55,18704.97
Guaimbê,217.811,5512.0,25.31,76293.81
Guaíra,1258.465,39279.0,31.21,65519.59
Guapiaçu,325.126,21711.0,66.78,40585.65
Guapiara,408.292,17071.0,41.81,25989.08
Guará,362.183,18606.0,51.37,28896.21
Guaraçaí,569.197,7441.0,13.07,39546.1
Guaraci,641.501,10350.0,16.13,32986.54
Guarani d'Oeste,85.7,1968.0,22.96,18556.87
Guarantã,461.746,6427.0,13.92,29367.05
Guararapes,955.637,31043.0,32.48,36072.94
Guararema,270.816,31236.0,115.34,50771.09
Guaratinguetá,752.636,118044.0,156.84,63948.0
Guareí,567.884,15013.0,26.44,16300.18
Guariba,270.289,37498.0,138.73,27783.09
Guarujá,144.794,287634.0,1986.5,32292.29
Guarulhos,318.675,1291771.0,4053.57,55084.22
Guatapará,413.567,7320.0,17.7,31618.94
Guzolândia,252.477,4246.0,16.82,17505.62
Herculândia,364.252,9125.0,25.05,36890.4
Holambra,65.577,15094.0,230.17,93777.73
Hortolândia,62.416,236641.0,3791.35,77357.5
Iacanga,547.393,10437.0,19.07,54825.02
Iacri,321.948,6131.0,19.04,50533.65
Iaras,401.381,8010.0,19.96,17261.62
Ibaté,290.978,32178.0,110.59,32354.27
Ibirá,271.912,11690.0,42.99,25170.21
Ibirarema,228.23,6385.0,27.98,30862.28
Ibitinga,689.391,60033.0,87.08,32137.74
Ibiúna,1058.082,75605.0,71.45,29609.37
Icém,362.355,7819.0,21.58,25025.6
Iepê,594.974,7619.0,12.81,52789.96
Igaraçu do Tietê,97.747,23106.0,236.39,15357.34
Igarapava,468.355,26212.0,55.97,42208.35
Igaratá,292.953,10605.0,36.2,24936.71
Iguape,1978.795,29115.0,14.71,51053.14
Ilhabela,346.389,34934.0,100.85,385605.85
Ilha Comprida,196.567,13419.0,68.27,118036.8
Ilha Solteira,652.641,25549.0,39.15,26261.81
Indaiatuba,311.545,255748.0,820.9,87525.86
Indiana,129.367,5090.0,39.35,17846.96
Indiaporã,279.606,4035.0,14.43,28664.34
Inúbia Paulista,87.119,3615.0,41.49,33790.08
Ipaussu,209.554,13712.0,65.43,32911.22
Iperó,170.289,36459.0,214.1,25010.8
Ipeúna,190.01,6831.0,35.95,121154.37
Ipiguá,136.028,6761.0,49.7,22360.76
Iporanga,1152.059,4046.0,3.51,15181.67
Ipuã,466.461,14454.0,30.99,26361.5
Iracemápolis,115.118,21967.0,190.82,85178.34
Irapuã,257.612,6867.0,26.66,22987.71
Irapuru,214.461,7085.0,33.04,13115.75
Itaberá,1100.247,17983.0,16.34,58380.87
Itaí,1092.884,25180.0,23.04,33471.94
Itajobi,502.066,16989.0,33.84,61001.88
Itaju,230.355,3618.0,15.71,58993.27
Itanhaém,601.711,112476.0,186.93,22704.86
Itaoca,183.015,3422.0,18.7,16009.98
Itapecerica da Serra,150.742,158522.0,1051.61,27338.58
Itapetininga,1789.35,157790.0,88.18,38058.01
Itapeva,1826.258,89728.0,49.13,39783.21
Itapevi,82.658,232297.0,2810.34,52656.14
Itapira,518.416,72022.0,138.93,62845.44
Itapirapuã Paulista,406.478,4306.0,10.59,12247.37
Itápolis,996.747,39493.0,39.62,37459.11
Itaporanga,507.997,14085.0,27.73,20103.59
Itapuí,140.023,13659.0,97.55,70205.57
Itapura,301.653,3979.0,13.19,20950.66
Itaquaquecetuba,82.622,369275.0,4469.45,25112.29
Itararé,1003.86,44438.0,44.27,23286.15
Itariri,273.667,15528.0,56.74,24725.72
Itatiba,322.269,121590.0,377.29,66360.02
Itatinga,979.817,19070.0,19.46,18764.35
Itirapina,564.603,16148.0,28.6,68413.96
Itirapuã,161.118,5779.0,35.87,24568.81
Itobi,138.986,8046.0,57.89,25230.99
Itu,640.719,168240.0,262.58,59502.19
Itupeva,200.876,70616.0,351.54,130938.58
Ituverava,704.659,37571.0,53.32,45131.05
Jaborandi,273.438,6221.0,22.75,22013.21
Jaboticabal,706.602,71821.0,101.64,46151.86
Jacareí,464.272,240275.0,517.53,67874.93
Jaci,145.133,7613.0,52.46,92434.87
Jacupiranga,704.189,16097.0,22.86,29651.56
Jaguariúna,141.391,59347.0,419.74,233328.91
Jales,368.574,48776.0,132.34,40212.72
Jambeiro,184.413,6397.0,34.69,51684.83
Jandira,17.449,118045.0,6765.14,38426.42
Jardinópolis,501.87,45282.0,90.23,34708.42
Jarinu,207.549,37535.0,180.85,96153.71
Jaú,687.103,133497.0,194.29,36376.16
Jeriquara,141.971,3863.0,27.21,53750.36
Joanópolis,374.293,12815.0,34.24,19442.33
João Ramalho,415.452,4371.0,10.52,32483.14
José Bonifácio,860.2,36633.0,42.59,36644.42
Júlio Mesquita,128.183,4254.0,33.19,12197.96
Jumirim,56.685,3056.0,53.91,61724.71
Jundiaí,431.204,443221.0,1027.87,135081.2
Junqueirópolis,582.565,20448.0,35.1,38510.78
Juquiá,812.799,17154.0,21.1,19673.56
Juquitiba,522.169,27404.0,52.48,18025.29
Lagoinha,255.472,5083.0,19.9,15150.97
Laranjal Paulista,384.274,26261.0,68.34,48579.92
Lavínia,537.675,9689.0,18.02,14696.45
Lavrinhas,167.067,7171.0,42.92,18111.28
Leme,402.871,98161.0,243.65,38964.09
Lençóis Paulista,809.541,66505.0,82.15,70818.58
Limeira,580.711,291869.0,502.61,51678.31
Lindóia,48.756,7014.0,143.86,30018.14
Lins,570.058,74779.0,131.18,85642.71
Lorena,414.16,84855.0,204.88,43299.19
Lourdes,113.94,1950.0,17.11,18818.34
Louveira,55.738,51847.0,930.19,385773.53
Lucélia,314.81,20061.0,63.72,26531.25
Lucianópolis,189.536,2372.0,12.51,29214.5
Luís Antônio,598.257,12265.0,20.5,99603.69
Luiziânia,166.576,4701.0,28.22,15851.42
Lupércio,155.171,3981.0,25.66,21340.47
Lutécia,475.226,2661.0,5.6,38571.53
Macatuba,224.514,16829.0,74.96,37292.64
Macaubal,248.087,7481.0,30.15,24094.91
Macedônia,327.567,3963.0,12.1,24669.23
Magda,312.282,3165.0,10.14,33742.07
Mairinque,210.149,50027.0,238.05,56474.15
Mairiporã,320.697,93853.0,292.65,22076.24
Manduri,229.046,9871.0,43.1,29272.78
Marabá Paulista,919.519,4573.0,4.97,25999.5
Maracaí,533.498,12673.0,23.75,36775.73
Marapoama,111.267,3292.0,29.59,38648.5
Mariápolis,186.544,3513.0,18.83,18663.17
Marília,1170.515,237627.0,203.01,40272.45
Marinópolis,77.827,1860.0,23.9,19070.41
Martinópolis,1253.564,24881.0,19.85,28179.26
Matão,524.899,79033.0,150.57,63716.37
Mauá,61.937,418261.0,6753.01,43128.78
Mendonça,195.151,6159.0,31.56,66474.78
Meridiano,228.199,4572.0,20.04,103289.4
Mesópolis,148.636,1952.0,13.13,42887.61
Miguelópolis,820.849,19441.0,23.68,45201.82
Mineiros do Tietê,213.242,11230.0,52.66,17373.68
Miracatu,1001.484,18553.0,18.53,23420.28
Mira Estrela,216.825,3126.0,14.42,22515.72
Mirandópolis,917.694,27983.0,30.49,24753.46
Mirante do Paranapanema,1238.931,15917.0,12.85,32957.78
Mirassol,243.228,63337.0,260.4,43778.54
Mirassolândia,166.125,4669.0,28.11,42951.06
Mococa,855.156,67681.0,79.14,44065.5
Mogi das Cruzes,712.541,451505.0,633.65,43031.34
Mogi Guaçu,812.753,153658.0,189.06,44538.21
Mogi Mirim,497.708,92558.0,185.97,67095.62
Mombuca,133.698,3722.0,27.84,35344.16
Monções,104.352,1937.0,18.56,25620.96
Mongaguá,142.755,61951.0,433.97,21421.71
Monte Alegre do Sul,110.308,8627.0,78.21,30829.71
Monte Alto,346.95,47574.0,137.12,47713.32
Monte Aprazível,495.559,22280.0,44.96,29885.78
Monte Azul Paulista,263.462,18151.0,68.89,33768.09
Monte Castelo,233.547,4222.0,18.08,30746.0
Monteiro Lobato,332.742,4138.0,12.44,17520.67
Monte Mor,240.566,64662.0,268.79,69972.02
Morro Agudo,1388.127,27933.0,20.12,36487.83
Morungaba,146.752,13720.0,93.49,45445.18
Motuca,228.7,4034.0,17.64,24983.62
Murutinga do Sul,250.873,3737.0,14.9,19453.5
Nantes,286.647,2660.0,9.28,44261.55
Narandiba,357.325,5713.0,15.99,129106.16
Natividade da Serra,833.372,6999.0,8.4,14098.9
Nazaré Paulista,326.254,18217.0,55.84,24667.18
Neves Paulista,219.05,9699.0,44.28,30979.89
Nhandeara,436.159,9852.0,22.59,31773.36
Nipoã,137.609,4750.0,34.52,17820.45
Nova Aliança,217.515,6693.0,30.77,45514.97
Nova Campina,385.375,8497.0,22.05,22192.26
Nova Canaã Paulista,124.473,2032.0,16.32,25386.3
Nova Castilho,183.396,1062.0,5.79,47027.11
Nova Europa,160.25,9311.0,58.1,32768.54
Nova Granada,531.796,19419.0,36.52,23447.89
Nova Guataporanga,34.158,2156.0,63.12,15762.88
Nova Independência,265.029,4609.0,17.39,51548.89
Novais,117.772,4412.0,37.46,12986.7
Nova Luzitânia,73.816,2837.0,38.43,14278.82
Nova Odessa,73.788,62019.0,840.5,65145.09
Novo Horizonte,931.743,38324.0,41.13,37973.31
Nuporanga,348.265,7391.0,21.22,115407.02
Ocauçu,301.036,4331.0,14.39,32921.81
Óleo,198.938,2512.0,12.63,52419.92
Olímpia,802.555,55074.0,68.62,45985.63
Onda Verde,242.946,4771.0,19.64,46086.02
Oriente,218.668,6085.0,27.83,19753.85
