"Local","Populacao"
"Palmital", 13033
"Palotina", 35011
"Paraíso do Norte", 13245
"Paranacity", 9557
"Paranaguá", 145829
"Paranapoema", 2398
"Paranavaí", 92001
"Pato Bragado", 5733
"Pato Branco", 91836
"Paula Freitas", 5666
"Paulo Frontin", 6343
"Peabiru", 13346
"Perobal", 7189
"Pérola", 11878
"Pérola d'Oeste", 6221
"Piên", 13655
"Pinhais", 127019
"Pinhalão", 6566
"Pinhal de São Bento", 2761
"Pinhão", 29886
"Piraí do Sul", 23651
"Piraquara", 118730
"Pitanga", 33567
"Pitangueiras", 3046
"Planaltina do Paraná", 4070
"Planalto", 14374
"Ponta Grossa", 358371
"Pontal do Paraná", 30425
"Porecatu", 11624
"Porto Amazonas", 4098
"Porto Barreiro", 3110
"Porto Rico", 3182
"Porto Vitória", 3562
"Prado Ferreira", 3709
"Pranchita", 5737
"Presidente Castelo Branco", 4336
"Primeiro de Maio", 10082
"Prudentópolis", 49393
"Quarto Centenário", 4201
"Quatiguá", 8099
"Quatro Barras", 24191
"Quatro Pontes", 4480
"Quedas do Iguaçu", 30738
"Querência do Norte", 10685
"Quinta do Sol", 5001
"Quitandinha", 18398
"Ramilândia", 4221
"Rancho Alegre", 3512
"Rancho Alegre D'Oeste", 2618
"Realeza", 19247
"Rebouças", 14514
"Renascença", 6845
"Reserva", 24573
"Reserva do Iguaçu", 6553
"Ribeirão Claro", 12364
"Ribeirão do Pinhal", 13060
"Rio Azul", 14025
"Rio Bom", 3197
"Rio Bonito do Iguaçu", 13929
"Rio Branco do Ivaí", 3808
"Rio Branco do Sul", 37558
"Rio Negro", 31324
"Rolândia", 71670
"Roncador", 11251
"Rondon", 9097
"Rosário do Ivaí", 5435
"Sabáudia", 8822
"Salgado Filho", 4075
"Salto do Itararé", 5192
"Salto do Lontra", 15223
"Santa Amélia", 3394
"Santa Cecília do Pavão", 3365
"Santa Cruz de Monte Castelo", 8613
"Santa Fé", 11378
"Santa Helena", 25492
"Santa Inês", 1748
"Santa Isabel do Ivaí", 8912
"Santa Izabel do Oeste", 14070
"Santa Lúcia", 3644
"Santa Maria do Oeste", 9934
"Santa Mariana", 11066
"Santa Mônica", 3356
"Santana do Itararé", 5514
"Santa Tereza do Oeste", 13174
"Santa Terezinha de Itaipu", 24262
"Santo Antônio da Platina", 44369
"Santo Antônio do Caiuá", 2493
"Santo Antônio do Paraíso", 2125
"Santo Antônio do Sudoeste", 23673
"Santo Inácio", 6181
"São Carlos do Ivaí", 6587
"São Jerônimo da Serra", 10830
"São João", 11886
"São João do Caiuá", 5586
"São João do Ivaí", 10667
"São João do Triunfo", 13726
"São Jorge d'Oeste", 9378
"São Jorge do Ivaí", 5168
"São Jorge do Patrocínio", 6504
"São José da Boa Vista", 6040
"São José das Palmeiras", 3957
