Município,Área colhida (Hectares),Valor da produção (Mil Reais)
Guaimbê,4495,41510
Júlio Mesquita,830,14538
Lins,23642,177703
Promissão,24463,233447
Sabino,10982,122834
Bauru,186500,1763353
Agudos,9472,83736
Arealva,12086,110114
Areiópolis,7080,57186
Avaí,3010,49203
Balbinos,5256,47286
Bauru,3021,36265
Borebi,5608,43849
Cabrália Paulista,452,3796
Duartina,334,3414
Guarantã,14272,128822
Iacanga,27978,283592
Lençóis Paulista,42113,355576
Lucianópolis,1458,18683
Paulistânia,509,4140
Pirajuí,25576,244704
Piratininga,2365,22243
Pongaí,6160,68010
Presidente Alves,719,6915
Reginópolis,12149,125100
Ubirajara,1897,18167
Uru,4985,52556
Jaú,244842,2367503
Bariri,26981,252436
Barra Bonita,8841,86083
Bocaina,16745,161095
Boracéia,8193,79221
Dois Córregos,40499,390561
Igaraçu do Tietê,7319,70080
Itaju,10129,97932
Itapuí,9097,87287
Jaú,49992,481953
Macatuba,15517,153478
Mineiros do Tietê,12680,119965
Pederneiras,38849,387416
Avaré,244058,2725999
Águas de Santa Bárbara,23850,225076
Arandu,9510,103290
Avaré,43610,412241
Cerqueira César,33800,353165
Iaras,8732,89403
Itaí,58570,698216
Itatinga,10406,86179
Paranapanema,55580,758431
Botucatu,103399,827995
Anhembi,16050,134279
Bofete,705,11756
Botucatu,31545,273109
Conchas,4083,28751
Pardinho,4839,47100
Pratânia,7150,52614
São Manuel,39027,280387
Araraquara,473182,4525206
Araraquara,344412,3242864
Américo Brasiliense,8750,93014
Araraquara,45218,484556
Boa Esperança do Sul,37151,383443
Borborema,33745,335646
Dobrada,10765,71222
Gavião Peixoto,8957,93719
Ibitinga,37030,342240
Itápolis,58390,382070
Matão,24810,247485
Motuca,13016,142598
Nova Europa,9370,95387
Rincão,19050,192529
Santa Lúcia,14902,148856
Tabatinga,20653,203939
Trabiju,2605,26160
São Carlos,128770,1282345
Analândia,9640,110209
Descalvado,36658,432030
Dourado,5816,50372
Ibaté,15300,119303
Ribeirão Bonito,19175,156464
São Carlos,42181,413968
Piracicaba,355444,3547043
Rio Claro,74979,689567
Brotas,35334,342328
Corumbataí,5073,44409
Ipeúna,5279,48156
Itirapina,7292,60431
Rio Claro,12813,108437
Torrinha,9188,85808
Limeira,124227,1195121
Araras,41240,345826
Conchal,8420,92521
Cordeirópolis,9149,94190
Iracemápolis,7344,66853
Leme,23080,265437
Limeira,24260,231258
Santa Cruz da Conceição,5725,53043
Santa Gertrudes,5009,45993
Piracicaba,156238,1662353
Capivari,21840,247393
Charqueada,9653,106240
Jumirim,1250,12904
Mombuca,8147,93108
Piracicaba,51628,562115
Rafard,7251,83577
Rio das Pedras,15276,169761
Saltinho,3674,39968
Santa Maria da Serra,7622,88982
São Pedro,12574,137167
Tietê,17323,121138
Campinas,347136,4728466
Pirassununga,86723,1007622
Aguaí,19765,233604
Pirassununga,33642,380403
Porto Ferreira,15055,198222
Santa Cruz das Palmeiras,18261,195391
São João da Boa Vista,142680,2078170
Águas da Prata,680,6378
Caconde,1002,9372
Casa Branca,48810,850450
Divinolândia,920,74484
Espírito Santo do Pinhal,2783,31787
Itobi,5576,144099
Mococa,28862,301108
Santo Antônio do Jardim,500,3460
São João da Boa Vista,13428,136001
São José do Rio Pardo,5030,98237
São Sebastião da Grama,295,2712
Tambaú,18875,209726
Tapiratiba,4051,44868
Vargem Grande do Sul,11868,165489
Mogi Mirim,53414,726440
Artur Nogueira,6409,64954
Engenheiro Coelho,4914,64137
Estiva Gerbi,1250,20071
Itapira,5658,52405
Mogi Guaçu,18170,280768
Mogi Mirim,12585,196076
Santo Antônio de Posse,4428,48031
Campinas,53038,781919
Americana,240,2285
Campinas,2903,34574
Cosmópolis,6848,76974
Elias Fausto,8055,67057
Holambra,2077,24269
Indaiatuba,3933,37487
Jaguariúna,3004,32775
Monte Mor,8312,114209
Nova Odessa,493,2407
Paulínia,3571,45810
Pedreira,73,785
Santa Bárbara d'Oeste,11277,104490
Sumaré,2175,237694
Valinhos,36,379
Vinhedo,41,726
Amparo,11281,134315
Águas de Lindóia,56,785
Amparo,2901,27398
Lindóia,62,1410
Monte Alegre do Sul,224,2324
Pedra Bela,1677,23607
Pinhalzinho,1731,19876
Serra Negra,712,11117
Socorro,3918,47801
Presidente Prudente,702817,5614781
Dracena,107544,908506
Dracena,15671,132638
Junqueirópolis,26870,220073
Monte Castelo,8794,74534
Nova Guataporanga,982,8168
Ouro Verde,10337,90592
Panorama,10725,92135
Paulicéia,12543,107277
Santa Mercedes,7309,61671
São João do Pau d'Alho,5494,45294
Tupi Paulista,8819,76123
Adamantina,99311,922567
Adamantina,13616,114427
Flora Rica,5554,50230
Flórida Paulista,19507,173311
Inúbia Paulista,2630,23838
Irapuru,5149,44901
Lucélia,10321,82095
Mariápolis,1531,28445
Osvaldo Cruz,4795,41776
Pacaembu,6989,68433
Parapuã,12750,126390
Pracinha,900,10403
Rinópolis,5350,55417
Sagres,3899,34079
Salmourão,6320,68830
Presidente Prudente,495962,3783708
Alfredo Marcondes,470,7903
Álvares Machado,1895,34249
Anhumas,9868,83764
Caiabu,6625,43799
Caiuá,3729,35208
Emilianópolis,6101,56282
Estrela do Norte,5000,35557
Euclides da Cunha Paulista,6604,60782
Indiana,731,11511
João Ramalho,14563,91564
Marabá Paulista,18087,169406
Martinópolis,48190,386694
Mirante do Paranapanema,32595,289873
Narandiba,18473,117858
Piquerobi,6069,53225
Pirapozinho,12053,87355
Presidente Bernardes,7040,52032
Presidente Epitácio,16990,159344
Presidente Prudente,6248,52715
Presidente Venceslau,5729,67617
Rancharia,116328,760904
Regente Feijó,7930,69815
Ribeirão dos Índios,4059,32625
Rosana,10899,106048
Sandovalina,35942,236762
Santo Anastácio,9314,56873
Santo Expedito,1303,10670
Taciba,36155,207643
Tarabai,3555,25469
Teodoro Sampaio,43417,380160
Marília,154423,1707283
Tupã,82900,997902
Arco-Íris,6320,79443
Bastos,2050,17450
Herculândia,17510,212612
Iacri,14350,157638
Queiroz,4100,51212
Quintana,15950,195656
Tupã,22620,283895
Marília,71523,709381
Álvaro de Carvalho,410,2664
Alvinlândia,329,3772
Echaporã,13329,148966
Fernão,1572,10893
Gália,2474,21888
Garça,3522,34620
Lupércio,1742,15703
Marília,13455,123678
Ocauçu,5865,63425
Oriente,5500,67402
Oscar Bressane,3667,42548
Pompéia,19000,166728
Vera Cruz,658,7096
Assis,901040,7456209
Assis,602397,5078938
Assis,30005,281726
Borá,5992,54993
Campos Novos Paulista,36921,265213
Cândido Mota,71465,670309
Cruzália,19067,130678
Florínea,21846,204778
Ibirarema,27012,249109
Iepê,41771,288693
Lutécia,17840,157113
Maracaí,73344,578570
Nantes,21971,128095
Palmital,71309,671618
Paraguaçu Paulista,53295,516497
Pedrinhas Paulista,19290,174528
Platina,27190,218411
Quatá,29480,172480
Tarumã,34599,316127
Ourinhos,298643,2377269
Bernardino de Campos,10755,92914
Canitar,4950,36789
Chavantes,14145,136288
Espírito Santo do Turvo,5223,42891
