Município,Área colhida (Hectares),Valor da produção (Mil Reais)
Itaguara,4497,109743
Belo Vale,2920,65527
Bonfim,566,15459
Crucilândia,18,414
Itaguara,126,3335
Itatiaiuçu,19,501
Jeceaba,75,1876
Moeda,117,1886
Piedade dos Gerais,650,20611
Rio Manso,6,136
Ouro Preto,122,3177
Diogo de Vasconcelos,...,...
Itabirito,21,1008
Mariana,46,945
Ouro Preto,55,1225
Conselheiro Lafaiete,714,21112
Casa Grande,67,2838
Catas Altas da Noruega,52,843
Congonhas,27,520
Conselheiro Lafaiete,14,302
Cristiano Otoni,37,654
Desterro de Entre Rios,161,4670
Entre Rios de Minas,169,5890
Itaverava,19,353
Ouro Branco,48,1763
Queluzito,90,2431
Santana dos Montes,17,331
São Brás do Suaçuí,13,521
Vale do Rio Doce,72558,2000150
Guanhães,420,10358
Braúnas,17,322
Carmésia,...,...
Coluna,48,1628
Divinolândia de Minas,36,918
Dores de Guanhães,...,...
Gonzaga,20,297
Guanhães,24,495
Materlândia,1,12
Paulistas,11,300
Sabinópolis,43,1096
Santa Efigênia de Minas,10,170
São João Evangelista,23,800
Sardoá,36,696
Senhora do Porto,37,460
Virginópolis,114,3165
Peçanha,3282,66061
Água Boa,2546,47396
Cantagalo,25,597
Frei Lagonegro,163,1694
José Raydan,70,1283
Peçanha,184,8195
Santa Maria do Suaçuí,53,905
São José do Jacuri,54,1340
São Pedro do Suaçuí,23,552
São Sebastião do Maranhão,164,4099
Governador Valadares,1963,45019
Alpercata,16,314
Campanário,2,33
Capitão Andrade,1,11
Coroaci,121,3941
Divino das Laranjeiras,15,203
Engenheiro Caldas,29,842
Fernandes Tourinho,102,919
Frei Inocêncio,31,670
Galiléia,27,585
Governador Valadares,231,5232
Itambacuri,423,6595
Itanhomi,351,7554
Jampruca,1,11
Marilac,205,10745
Mathias Lobato,5,22
Nacip Raydan,5,107
Nova Módica,21,628
Pescador,...,...
São Geraldo da Piedade,172,2213
São Geraldo do Baixio,38,906
São José da Safira,1,54
São José do Divino,44,654
Sobrália,27,447
Tumiritinga,20,282
Virgolândia,75,2057
Mantena,8711,163652
Central de Minas,23,350
Itabirinha,336,6897
Mantena,2434,39561
Mendes Pimentel,26,597
Nova Belém,5483,110100
São Félix de Minas,28,633
São João do Manteninha,381,5516
Ipatinga,295,6003
Açucena,52,1201
Antônio Dias,67,1732
Belo Oriente,26,552
Coronel Fabriciano,20,501
Ipatinga,24,355
Jaguaraçu,...,...
Joanésia,5,57
Marliéria,19,324
Mesquita,23,411
Naque,15,205
Periquito,18,273
Santana do Paraíso,16,239
Timóteo,10,158
Caratinga,36700,1069614
Bom Jesus do Galho,1318,21137
Bugre,64,1291
Caratinga,9483,311994
Córrego Novo,55,1401
Dom Cavati,63,1198
Entre Folhas,394,9534
Iapu,402,13211
Imbé de Minas,3670,106093
Inhapim,4101,143585
Ipaba,18,404
Piedade de Caratinga,3507,111037
Pingo-d'Água,2,36
Santa Bárbara do Leste,3295,73557
Santa Rita de Minas,2256,46831
São Domingos das Dores,2638,66716
São João do Oriente,15,345
São Sebastião do Anta,2350,85172
Tarumirim,74,1156
Ubaporanga,2927,72731
Vargem Alegre,68,2191
Aimorés,21187,639449
Aimorés,1536,55181
Alvarenga,718,13124
Conceição de Ipanema,912,26770
Conselheiro Pena,3719,131587
Cuparaque,342,6555
Goiabeira,4,63
Ipanema,343,7704
Itueta,703,15087
Mutum,7107,202899
Pocrane,570,21488
Resplendor,235,6263
Santa Rita do Itueto,4863,148889
Taparuba,135,3843
Oeste de Minas,78473,2131074
Piuí,29048,782362
Bambuí,3220,99294
Córrego Danta,1206,36325
Doresópolis,250,6751
Iguatama,3,121
Medeiros,3508,110748
Piumhi,11418,281472
São Roque de Minas,5584,149035
Tapiraí,1519,40756
Vargem Bonita,2340,57861
Divinópolis,573,15614
Carmo do Cajuru,38,1450
Cláudio,414,11253
Conceição do Pará,3,64
Divinópolis,37,1318
Igaratinga,...,...
Itaúna,11,248
Nova Serrana,-,-
Perdigão,3,38
Santo Antônio do Monte,52,1006
São Gonçalo do Pará,2,31
São Sebastião do Oeste,13,212
Formiga,8122,249894
Arcos,5,216
Camacho,2282,64554
Córrego Fundo,257,5676
Formiga,2938,109346
Itapecerica,456,10034
Pains,11,326
Pedra do Indaiá,13,184
Pimenta,2160,59558
Campo Belo,18740,438755
Aguanil,1397,44723
Campo Belo,2261,55586
Cana Verde,725,15266
Candeias,5770,121420
Cristais,5064,110998
Perdões,3023,77783
Santana do Jacaré,500,12983
Oliveira,21990,644445
Bom Sucesso,2943,86318
Carmo da Mata,871,27980
Carmópolis de Minas,187,6554
Ibituruna,581,14079
Oliveira,6866,216437
Passa Tempo,88,2538
Piracema,31,826
Santo Antônio do Amparo,7483,193728
São Francisco de Paula,2940,95984
Sul/Sudoeste de Minas,447554,11574220
Passos,46601,1431439
Alpinópolis,5668,168024
Bom Jesus da Penha,1955,65668
Capetinga,4565,133405
Capitólio,2097,44047
Cássia,4903,140482
Claraval,3615,95002
Delfinópolis,3109,146305
Fortaleza de Minas,1503,48959
Ibiraci,13384,380524
Itaú de Minas,9,264
Passos,2626,69530
Pratápolis,279,9147
São João Batista do Glória,276,6921
São José da Barra,2612,123164
São Sebastião do Paraíso,92601,2523079
Arceburgo,1556,30006
Cabo Verde,8868,247337
Guaranésia,3793,85367
Guaxupé,3996,94286
Itamogi,8414,227637
Jacuí,3281,72430
Juruaia,4927,151668
Monte Belo,4006,79056
Monte Santo de Minas,9465,285467
Muzambinho,6664,196936
Nova Resende,12361,379674
São Pedro da União,4195,123553
São Sebastião do Paraíso,12894,347486
São Tomás de Aquino,8181,202177
Alfenas,10044,193363
Alterosa,3881,87659
Areado,2673,50153
Carmo do Rio Claro,10906,362635
Carvalhópolis,1826,53984
Conceição da Aparecida,7800,244952
Divisa Nova,2039,53453
Fama,943,26812
Machado,12703,254633
Paraguaçu,8972,192213
Poço Fundo,9575,210715
Serrania,3303,80385
Varginha,122018,2959163
Boa Esperança,14358,287268
Campanha,6043,170835
Campo do Meio,2928,94986
Campos Gerais,16515,517639
Carmo da Cachoeira,8942,234625
Coqueiral,5009,123560
Elói Mendes,10228,230248
Guapé,8734,225896
Ilicínea,5772,127990
Monsenhor Paulo,4100,104642
Santana da Vargem,4359,88778
São Bento Abade,763,18268
São Tomé das Letras,1291,37617
Três Corações,9404,217933
Três Pontas,15917,318393
Varginha,7655,160487
Poços de Caldas,44627,1099370
Albertina,1500,44496
Andradas,6374,176585
Bandeira do Sul,293,6738
Botelhos,7212,136922
Caldas,1221,33568
Campestre,11301,239693
Ibitiúra de Minas,1320,37552
Inconfidentes,2461,94736
Jacutinga,3786,100498
Monte Sião,1746,43208
Ouro Fino,4035,99045
Poços de Caldas,3051,73274
Santa Rita de Caldas,327,13060
Pouso Alegre,5324,149856
Bom Repouso,36,1339
Borda da Mata,441,11055
Bueno Brandão,2128,62794
Camanducaia,45,743
Cambuí,52,1297
Congonhal,345,7707
Córrego do Bom Jesus,7,173
Espírito Santo do Dourado,716,19057
Estiva,69,4910
Extrema,17,370
Gonçalves,302,5285
Ipuiúna,9,172
Itapeva,15,220
Munhoz,16,480
Pouso Alegre,187,9112
Sapucaí-Mirim,70,800
Senador Amaral,26,586
Senador José Bento,470,12373
Tocos do Moji,370,11313
Toledo,3,84
Santa Rita do Sapucaí,34733,902422
Cachoeira de Minas,1076,33204
Careaçu,1179,29242
Conceição das Pedras,1894,52717
Conceição dos Ouros,319,8243
Cordislândia,1715,47287
Heliodora,2845,63227
Natércia,2533,73978
Pedralva,3839,100402
Santa Rita do Sapucaí,3827,91012
São Gonçalo do Sapucaí,9324,215977
São João da Mata,955,19508
São José do Alegre,298,7961
São Sebastião da Bela Vista,1100,33536
Silvianópolis,1854,35997
Turvolândia,1975,90134
São Lourenço,18925,491530
Alagoa,42,363
Baependi,931,20418
Cambuquira,2998,79122
Carmo de Minas,3496,81304
Caxambu,98,2891
Conceição do Rio Verde,3935,121237
Itamonte,2,116
Itanhandu,24,383
Jesuânia,1730,42202
Lambari,4214,103677
Olímpio Noronha,790,19155
Passa Quatro,47,2065
Pouso Alto,129,3599
São Lourenço,62,2235
São Sebastião do Rio Verde,5,109
Soledade de Minas,422,12657
Andrelândia,1342,38517
Aiuruoca,51,709
Andrelândia,549,18039
Arantina,3,116
Bocaina de Minas,6,30
Bom Jardim de Minas,2,43
Carvalhos,...,...
Cruzília,267,7202
Liberdade,...,...
Minduri,44,1116
Passa Vinte,2,15
São Vicente de Minas,399,11110
Seritinga,6,72
Serranos,13,65
Itajubá,6718,167892
Brazópolis,2035,48034
Consolação,24,274
Cristina,2117,51512
Delfim Moreira,61,1011
Dom Viçoso,387,9889
Itajubá,149,3124
Maria da Fé,307,5807
Marmelópolis,43,1851
Paraisópolis,249,6203
Piranguçu,438,8547
Piranguinho,504,13701
Virgínia,396,17854
Wenceslau Braz,8,90
Campo das Vertentes,24273,624483
Lavras,17625,391861
Carrancas,28,964
Ijaci,232,5507
Ingaí,541,15869
Itumirim,370,9291
Itutinga,120,4374
Lavras,5158,131833
Luminárias,2175,60791
Nepomuceno,8691,155071
Ribeirão Vermelho,310,8165
São João Del Rei,4678,142955
Conceição da Barra de Minas,240,6745
Coronel Xavier Chaves,302,8531
Dores de Campos,...,...
Lagoa Dourada,134,4004
Madre de Deus de Minas,214,8300
Nazareno,2123,57492
Piedade do Rio Grande,215,8733
Prados,11,650
Resende Costa,1,9
Ritápolis,225,8330
Santa Cruz de Minas,...,...
Santana do Garambéu,5,168
São João del Rei,722,24570
São Tiago,430,14010
Tiradentes,56,1419
Barbacena,1970,89666
Alfredo Vasconcelos,70,3886
Antônio Carlos,223,12726
Barbacena,513,33114
Barroso,9,176
Capela Nova,307,13286
Caranaíba,44,3133
Carandaí,74,3186
Desterro do Melo,144,4440
Ibertioga,2,45
Ressaquinha,40,2036
Santa Bárbara do Tugúrio,454,11986
Senhora dos Remédios,90,1658
Zona da Mata,211290,5770581
Ponte Nova,15854,400214
Acaiaca,10,185
Barra Longa,5,70
Dom Silvério,8,124
Guaraciaba,140,5043
Jequeri,3314,121237
Oratórios,11,276
Piedade de Ponte Nova,3,37
Ponte Nova,94,1914
Raul Soares,4716,79440
Rio Casca,7,167
Rio Doce,...,...
Santa Cruz do Escalvado,8,120
Santo Antônio do Grama,23,720
São Pedro dos Ferros,54,463
Sem-Peixe,38,560
Sericita,5103,144854
Urucânia,63,1383
Vermelho Novo,2257,43625
Manhuaçu,121446,3499549
Abre Campo,4117,101560
Alto Caparaó,2505,77307
Alto Jequitibá,5002,92445
Caparaó,5150,140039
Caputira,4530,132165
Chalé,2289,67305
Durandé,5200,160017
Lajinha,8318,241023
Luisburgo,6332,194546
Manhuaçu,22847,676602
Manhumirim,5231,148416
Martins Soares,3000,84870
Matipó,4314,110695
Pedra Bonita,3751,138220
Reduto,3380,87416
Santa Margarida,10310,292342
Santana do Manhuaçu,7230,184256
São João do Manhuaçu,6721,166483
São José do Mantimento,757,21940
Simonésia,10462,381908
Viçosa,19722,535422
Alto Rio Doce,66,1157
Amparo do Serra,387,13918
Araponga,4852,125772
Brás Pires,...,...
Cajuri,912,19357
Canaã,1187,32182
Cipotânea,42,1142
Coimbra,464,16822
Ervália,5603,140218
Lamim,25,1200
Paula Cândido,1414,48067
Pedra do Anta,249,7054
Piranga,174,5975
Porto Firme,542,14547
Presidente Bernardes,345,10541
Rio Espera,8,179
São Miguel do Anta,1618,49083
Senhora de Oliveira,200,6075
Teixeiras,720,21430
Viçosa,914,20707
Muriaé,47557,1150368
Antônio Prado de Minas,49,1164
Barão de Monte Alto,3,55
Caiana,3736,68753
Carangola,4515,96906
Divino,8437,187987
Espera Feliz,9569,236002
Eugenópolis,1715,62731
Faria Lemos,662,16144
Fervedouro,4531,133538
Miradouro,2470,48364
Miraí,418,9875
Muriaé,1063,21135
Orizânia,4167,126792
Patrocínio do Muriaé,5,82
Pedra Dourada,1209,29382
Rosário da Limeira,777,16139
São Francisco do Glória,1378,27857
São Sebastião da Vargem Alegre,868,18351
Tombos,1348,32588
Vieiras,637,16527
Ubá,3831,113006
Astolfo Dutra,216,6904
Divinésia,175,7646
Dores do Turvo,70,1701
Guarani,109,2728
Guidoval,172,3570
Guiricema,417,15697
Mercês,38,886
Piraúba,409,10425
Rio Pomba,50,1486
Rodeiro,76,1384
São Geraldo,478,13676
Senador Firmino,94,2926
Silveirânia,4,69
Tabuleiro,19,396
Tocantins,973,28883
Ubá,123,3209
Visconde do Rio Branco,408,11421
Juiz de Fora,1997,47593
Aracitaba,12,168
Belmiro Braga,18,409
Bias Fortes,3,84
Bicas,3,56
Chácara,6,161
Chiador,...,...
Coronel Pacheco,236,3794
Descoberto,24,1457
Ewbank da Câmara,...,...
Goianá,15,254
Guarará,31,781
Juiz de Fora,45,1218
Lima Duarte,4,192
Mar de Espanha,138,5033
Maripá de Minas,5,79
Matias Barbosa,20,476
Olaria,2,49
Oliveira Fortes,41,1286
Paiva,8,221
Pedro Teixeira,8,128
Pequeri,8,187
Piau,1128,25722
Rio Novo,25,767
Rio Preto,7,108
Rochedo de Minas,...,...
Santa Bárbara do Monte Verde,22,767
Santa Rita de Ibitipoca,...,...
Santa Rita de Jacutinga,19,841
Santana do Deserto,4,71
Santos Dumont,77,1531
São João Nepomuceno,74,1337
Senador Cortes,5,139
Simão Pereira,9,282
Cataguases,883,24428
Além Paraíba,4,72
Argirita,29,497
Cataguases,111,1234
Dona Euzébia,6,160
Estrela Dalva,71,2710
Itamarati de Minas,136,3144
Laranjal,11,179
Leopoldina,217,6227
Palma,132,4319
Pirapetinga,104,4121
Recreio,8,34
Santana de Cataguases,3,37
Santo Antônio do Aventureiro,40,1433
Volta Grande,11,266
Paraná,119310,3248206
Noroeste Paranaense,16987,465684
Paranavaí,12150,298035
Alto Paraná,2486,72369
Amaporã,1,6
Cruzeiro do Sul,776,13017
Diamante do Norte,58,683
Guairaçá,2177,45541
Inajá,37,266
Itaúna do Sul,31,129
Jardim Olinda,...,...
Loanda,153,3101
Marilena,59,291
Mirador,184,5944
Nova Aliança do Ivaí,141,4151
Nova Londrina,...,...
Paraíso do Norte,98,2558
Paranacity,627,5398
Paranapoema,390,2740
Paranavaí,3829,112209
Planaltina do Paraná,7,31
Porto Rico,2,39
Querência do Norte,17,111
Santa Cruz de Monte Castelo,8,48
Santa Isabel do Ivaí,16,214
Santa Mônica,11,115
Santo Antônio do Caiuá,...,...
São Carlos do Ivaí,241,12298
São João do Caiuá,516,13193
São Pedro do Paraná,119,1153
Tamboara,45,728
Terra Rica,121,1702
Umuarama,3170,97292
Alto Paraíso,8,84
Alto Piquiri,2,46
Altônia,881,25153
Brasilândia do Sul,1,38
Cafezal do Sul,14,268
Cruzeiro do Oeste,1228,49064
Douradina,23,762
Esperança Nova,28,922
Francisco Alves,10,286
Icaraíma,12,156
Iporã,85,1558
Ivaté,21,738
Maria Helena,131,2818
Mariluz,17,455
Nova Olímpia,5,81
Perobal,46,1290
Pérola,44,1141
São Jorge do Patrocínio,494,10275
Tapira,21,341
Umuarama,90,1780
Xambrê,9,40
Cianorte,1667,70360
Cianorte,448,13005
Cidade Gaúcha,239,14065
Guaporema,57,3303
Indianópolis,46,965
Japurá,91,2856
Jussara,15,490
Rondon,388,19953
São Manoel do Paraná,27,768
São Tomé,149,6703
Tapejara,145,6506
Tuneiras do Oeste,62,1748
Centro Ocidental Paranaense,736,15576
Goioerê,80,2336
Altamira do Paraná,7,240
Boa Esperança,2,22
Campina da Lagoa,6,248
Goioerê,4,103
Janiópolis,13,147
Juranda,7,80
Moreira Sales,22,870
Nova Cantu,4,104
Quarto Centenário,2,41
Rancho Alegre D'Oeste,...,...
Ubiratã,13,480
Campo Mourão,656,13240
Araruna,94,1165
Barbosa Ferraz,90,1491
Campo Mourão,23,685
Corumbataí do Sul,167,3580
Engenheiro Beltrão,26,497
Farol,1,17
Fênix,28,660
Iretama,47,931
Luiziana,7,141
Mamborê,1,11
Peabiru,24,446
Quinta do Sol,10,326
Roncador,76,1455
Terra Boa,62,1833
Norte Central Paranaense,15810,536926
Astorga,4011,127459
Ângulo,402,30044
Astorga,194,5414
Atalaia,849,18434
Cafeara,22,530
Centenário do Sul,57,2141
Colorado,83,787
Flórida,42,488
Guaraci,44,872
Iguaraçu,7,80
Itaguajé,73,576
Jaguapitã,103,2246
Lobato,2,40
Lupionópolis,9,237
Mandaguaçu,13,285
Munhoz de Melo,19,311
Nossa Senhora das Graças,2,48
Nova Esperança,1590,39072
Presidente Castelo Branco,256,21046
Santa Fé,138,2969
Santa Inês,3,64
Santo Inácio,3,60
Uniflor,100,1719
Porecatu,377,10791
Alvorada do Sul,72,1957
Bela Vista do Paraíso,62,1907
Florestópolis,11,196
Miraselva,33,804
Porecatu,42,839
Prado Ferreira,15,384
Primeiro de Maio,33,742
Sertanópolis,109,3961
Floraí,691,46709
Doutor Camargo,14,349
Floraí,472,33072
Floresta,1,47
Itambé,6,171
Ivatuba,3,51
Ourizona,33,1956
São Jorge do Ivaí,162,11063
Maringá,918,75342
Mandaguari,241,7754
Marialva,524,58207
Maringá,106,4527
Paiçandu,-,-
Sarandi,47,4853
Apucarana,3835,108949
Apucarana,1788,44802
Arapongas,302,7884
Califórnia,92,6149
Cambira,505,12286
Jandaia do Sul,372,11405
Marilândia do Sul,166,6331
Mauá da Serra,139,5695
Novo Itacolomi,429,14007
Sabáudia,42,393
Londrina,2706,73237
Cambé,424,10384
Ibiporã,195,4890
Londrina,1347,41644
Pitangueiras,164,3459
Rolândia,510,11358
Tamarana,66,1504
Faxinal,422,12716
Bom Sucesso,21,1027
Borrazópolis,131,2907
Cruzmaltina,64,2620
Faxinal,88,3349
Kaloré,6,87
Marumbi,51,1720
Rio Bom,61,1008
Ivaiporã,2850,81724
Arapuã,27,633
Ariranha do Ivaí,9,270
Cândido de Abreu,87,1927
Godoy Moreira,28,652
Grandes Rios,1155,25318
Ivaiporã,510,9871
Jardim Alegre,284,5335
Lidianópolis,311,11217
Lunardelli,113,2070
Manoel Ribas,21,530
Nova Tebas,72,2449
Rio Branco do Ivaí,-,-
Rosário do Ivaí,203,20575
São João do Ivaí,10,180
São Pedro do Ivaí,20,703
Norte Pioneiro Paranaense,27219,971432
Assaí,3355,106952
Assaí,494,17684
Jataizinho,98,4621
Nova Santa Bárbara,76,4045
Rancho Alegre,164,4669
Santa Cecília do Pavão,22,427
São Jerônimo da Serra,1333,32344
São Sebastião da Amoreira,371,14073
Uraí,797,29089
Cornélio Procópio,3929,107712
Abatiá,442,9692
Andirá,193,7126
Bandeirantes,113,9807
Congonhinhas,482,11272
Cornélio Procópio,453,10656
Itambaracá,23,823
Leópolis,21,729
Nova América da Colina,173,5449
Nova Fátima,327,7382
Ribeirão do Pinhal,520,11578
Santa Amélia,165,3612
Santa Mariana,880,22936
Santo Antônio do Paraíso,68,4499
Sertaneja,69,2154
Jacarezinho,2503,93139
Barra do Jacaré,12,515
Cambará,16,469
Jacarezinho,464,18879
Jundiaí do Sul,244,8876
Ribeirão Claro,906,32993
Santo Antônio da Platina,861,31406
Ibaiti,7701,271878
Conselheiro Mairinck,152,5769
Curiúva,196,4626
Figueira,210,4998
Ibaiti,2029,72579
Jaboti,880,33285
Japira,915,35173
Pinhalão,3132,110703
Sapopema,187,4743
Wenceslau Braz,9731,391752
Carlópolis,5953,252779
Guapirama,112,5377
Joaquim Távora,207,9751
Quatiguá,34,1307
Salto do Itararé,305,10996
Santana do Itararé,174,8438
São José da Boa Vista,160,11068
Siqueira Campos,929,32834
Tomazina,1716,53845
Wenceslau Braz,141,5357
Centro Oriental Paranaense,520,18689
Telêmaco Borba,140,6682
Imbaú,10,304
Ortigueira,22,622
Reserva,38,2746
Telêmaco Borba,5,140
Tibagi,23,1967
Ventania,42,904
Jaguariaíva,241,7000
Arapoti,171,5309
Jaguariaíva,8,138
Piraí do Sul,18,305
Sengés,44,1245
Ponta Grossa,139,5007
Carambeí,...,...
Castro,22,369
Palmeira,75,3998
Ponta Grossa,42,640
Oeste Paranaense,2796,94775
Toledo,607,23309
Assis Chateaubriand,33,1381
Diamante D´Oeste,48,1209
Entre Rios do Oeste,3,118
Formosa do Oeste,28,1499
Guaíra,18,902
Iracema do Oeste,22,876
Jesuítas,196,6437
Marechal Cândido Rondon,38,1662
Maripá,...,...
Mercedes,8,249
Nova Santa Rosa,6,410
Ouro Verde do Oeste,5,392
Palotina,11,776
Pato Bragado,1,70
Quatro Pontes,1,77
Santa Helena,28,1748
São José das Palmeiras,33,898
São Pedro do Iguaçu,16,673
Terra Roxa,95,2978
Toledo,13,786
Tupãssi,4,166
Cascavel,1580,53261
Anahy,81,3345
Boa Vista da Aparecida,58,2390
Braganey,58,2821
Cafelândia,26,900
Campo Bonito,52,1643
Capitão Leônidas Marques,71,4094
Cascavel,431,9855
Catanduvas,107,4676
Corbélia,49,1132
Diamante do Sul,2,36
Guaraniaçu,76,1672
Ibema,237,3706
Iguatu,40,1878
Lindoeste,70,4487
Nova Aurora,49,1453
Santa Lúcia,44,2702
Santa Tereza do Oeste,78,3879
Três Barras do Paraná,51,2594
Foz do Iguaçu,609,18205
Céu Azul,69,3810
Foz do Iguaçu,74,1798
Itaipulândia,73,1617
Matelândia,56,1627
Medianeira,42,1229
Missal,53,1778
Ramilândia,61,1475
Santa Terezinha de Itaipu,18,575
São Miguel do Iguaçu,67,1756
Serranópolis do Iguaçu,21,691
Vera Cruz do Oeste,75,1851
Sudoeste Paranaense,2560,97062
Capanema,692,29584
Ampére,67,3298
Bela Vista da Caroba,54,2690
Capanema,120,5020
Pérola d'Oeste,62,2386
Planalto,128,5821
Pranchita,56,2763
Realeza,138,4704
Santa Izabel do Oeste,67,2897
Francisco Beltrão,1324,52218
Barracão,87,3081
Boa Esperança do Iguaçu,34,1294
Bom Jesus do Sul,63,2287
Cruzeiro do Iguaçu,59,2069
Dois Vizinhos,76,2809
Enéas Marques,67,2563
Flor da Serra do Sul,55,2073
Francisco Beltrão,168,6548
Manfrinópolis,44,1671
Marmeleiro,63,2306
Nova Esperança do Sudoeste,37,1301
Nova Prata do Iguaçu,94,4508
Pinhal de São Bento,28,1231
Renascença,62,2285
Salgado Filho,113,4532
Salto do Lontra,78,3335
Santo Antônio do Sudoeste,78,3624
São Jorge d'Oeste,40,1531
Verê,78,3170
Pato Branco,544,15261
Bom Sucesso do Sul,32,616
Chopinzinho,140,4460
Coronel Vivida,54,1193
Itapejara d'Oeste,29,525
Mariópolis,98,4622
Pato Branco,79,1548
São João,40,1141
Saudade do Iguaçu,27,472
Sulina,20,285
Vitorino,25,401
Centro-Sul Paranaense,8539,202574
Pitanga,2995,30322
Boa Ventura de São Roque,357,4082
Laranjal,33,955
Mato Rico,35,871
Palmital,158,2431
Pitanga,1359,11154
Santa Maria do Oeste,1053,10828
Guarapuava,4800,135475
Campina do Simão,24,712
Candói,57,2096
Cantagalo,15,238
Espigão Alto do Iguaçu,9,565
Foz do Jordão,35,732
Goioxim,31,857
Guarapuava,2259,55998
Inácio Martins,19,244
Laranjeiras do Sul,11,281
Marquinho,2,36
Nova Laranjeiras,6,210
Pinhão,1219,38824
Porto Barreiro,4,289
Quedas do Iguaçu,18,480
Reserva do Iguaçu,344,6264
Rio Bonito do Iguaçu,15,576
Turvo,728,26905
Virmond,4,167
Palmas,744,36783
Clevelândia,55,828
Coronel Domingos Soares,205,3501
Honório Serpa,29,453
Mangueirinha,34,545
Palmas,421,31456
Sudeste Paranaense,26217,369253
Prudentópolis,3467,52207
Fernandes Pinheiro,136,1496
Guamiranga,198,2105
Imbituva,465,6998
Ipiranga,10,305
Ivaí,1306,13301
Prudentópolis,1199,25871
Teixeira Soares,153,2130
Irati,1819,27056
Irati,464,7589
Mallet,368,9782
Rebouças,465,6517
Rio Azul,522,3169
União da Vitória,12265,172001
Bituruna,3268,46135
Cruz Machado,5115,69257
General Carneiro,483,6536
Paula Freitas,1614,24032
Paulo Frontin,543,9076
Porto Vitória,504,6732
União da Vitória,738,10236
São Mateus do Sul,8666,117990
Antônio Olinto,40,1034
São João do Triunfo,765,8834
São Mateus do Sul,7861,108123
Metropolitana de Curitiba,17926,476241
Cerro Azul,7751,182389
Adrianópolis,132,3554
Cerro Azul,5780,152175
Doutor Ulysses,1839,26661
Lapa,408,23398
Lapa,348,18390
Porto Amazonas,60,5008
Curitiba,1695,61611
Almirante Tamandaré,47,3492
Araucária,139,7828
Balsa Nova,25,1270
Bocaiúva do Sul,57,2356
Campina Grande do Sul,60,1675
Campo Largo,189,7711
Campo Magro,5,221
Colombo,49,3891
Contenda,38,1897
Curitiba,...,...
Fazenda Rio Grande,13,1004
Itaperuçu,116,2933
Mandirituba,27,1829
Pinhais,...,...
Piraquara,13,477
Quatro Barras,14,439
Rio Branco do Sul,619,13408
São José dos Pinhais,277,11001
Tunas do Paraná,7,180
Paranaguá,7692,190773
Antonina,1019,20473
Guaraqueçaba,1766,37898
Guaratuba,3826,99872
Matinhos,5,170
Morretes,934,28671
Paranaguá,135,3482
Pontal do Paraná,7,208
Rio Negro,380,18070
Agudos do Sul,29,1293
Campo do Tenente,159,11043
Piên,24,975
Quitandinha,85,2263
Rio Negro,50,1830
Tijucas do Sul,33,667
