Cidade,latitude,longitude
Iracema do Oeste,-24.426155,-53.35279
Irati,-25.469663,-50.649287
Iretama,-24.42529,-52.101161
Itaguajé,-22.618282,-51.967351
Itaipulândia,-25.136623,-54.300102
Itambaracá,-23.018113,-50.409654
Itambé,-23.660056,-51.991236
Itapejara d`Oeste,-25.96203,-52.813823
Itaperuçu,-25.21926,-49.345427
Itaúna do Sul,-22.728942,-52.887395
Ivaiporã,-24.248533,-51.675426
Ivatuba,-23.618722,-52.220272
Ivaté,-23.407206,-53.368705
Ivaí,-25.006734,-50.857041
Jaboti,-23.743502,-50.072904
Jacarezinho,-23.159115,-49.973889
Jaguapitã,-23.110388,-51.534195
Jaguariaiva,-24.251542202185597,-49.70945291352196
Jaguariaíva,-24.24389,-49.706642
Jandaia do Sul,-23.601089,-51.644819
Janiópolis,-24.140124,-52.77836
Japira,-23.814227,-50.142211
Japurá,-23.469273,-52.55572
Jardim Alegre,-24.180913,-51.690197
Jardim Olinda,-22.552255,-52.050298
Jataizinho,-23.257815,-50.977748
Jesuítas,-24.383918,-53.38492
Joaquim Távora,-23.498654,-49.908998
Jundiaí do Sul,-23.435671,-50.249579
Juranda,-24.420866,-52.841344
Jussara,-23.621931,-52.46931
Kaloré,-23.818835,-51.668709
Lapa,-25.76709,-49.716777
Laranjal,-24.886153,-52.470041
Laranjeiras do Sul,-25.407672,-52.410854
Leópolis,-23.081781,-50.751085
Lidianópolis,-24.10997,-51.650629
Lindoeste,-25.259616,-53.573298
Loanda,-22.923194,-53.136216
Lobato,-23.005782,-51.952419
Londrina,-23.303975,-51.1691
Luiziana,-24.285284,-52.269022
Lunardelli,-24.082055,-51.736783
Lupionópolis,-22.754987,-51.660085
Mallet,-25.880588,-50.817346
Mamborê,-24.316951,-52.527119
Mandaguari,-23.54459,-51.671027
Mandaguaçu,-23.345766,-52.094369
Mandirituba,-25.777036,-49.328225
Manfrinópolis,-26.147968,-53.315257
Mangueirinha,-25.942102,-52.174275
Manoel Ribas,-24.514363,-51.665822
Marechal Cândido Rondon,-24.557891,-54.056115
Maria Helena,-23.615754,-53.205333
Marialva,-23.484316,-51.792802
Marilena,-22.733552,-53.040239
Mariluz,-24.008888,-53.143242
Marilândia do Sul,-23.742534,-51.313737
Maringá,-23.420545,-51.933298
Maripá,-24.419978,-53.828641
Mariópolis,-26.351072,-52.549736
Marmeleiro,-26.1472,-53.026741
Marquinho,-25.112,-52.249676
Marumbi,-23.705764,-51.640374
Matelândia,-25.249571,-53.993492
Matinhos,-25.823655,-48.549012
Mato Rico,-24.699538,-52.14544
Mauá da Serra,-23.898761,-51.227732
Medianeira,-25.297665,-54.094308
Mercedes,-24.453791,-54.161826
Mirador,-23.254951,-52.776081
Miraselva,-22.965663,-51.484606
Missal,-25.091855,-54.247664
Moreira Sales,-24.052657,-53.00564
Morretes,-25.474365,-48.834533
Munhoz de Melo,-23.14601,-51.773162
Nossa Senhora das Graças,-22.912926,-51.797764
Nova Aliança do Ivaí,-23.176271,-52.603244
Nova América da Colina,-23.330772,-50.716821
Nova Aurora,-24.528859,-53.257449
Nova Cantu,-24.672324,-52.566078
Nova Esperança,-23.18202,-52.203139
Nova Esperança do Sudoeste,-25.90607,-53.26524
Nova Fátima,-23.432447,-50.566507
Nova Laranjeiras,-25.305376,-52.544682
Nova Londrina,-22.763931,-52.98677
Nova Olímpia,-23.470252,-53.089799
Nova Prata do Iguaçu,-25.630908,-53.346862
Nova Santa Bárbara,-23.586534,-50.759798
Nova Santa Rosa,-24.469293,-53.955249
Nova Tebas,-24.437958,-51.945357
Novo Itacolomi,-23.76308,-51.50789
Ortigueira,-24.205811,-50.918508
Ourizona,-23.405342,-52.19638
Ouro Verde do Oeste,-24.793258,-53.904303
Paiçandu,-23.455534,-52.046013
Palmas,-26.483868,-51.988812
Palmas - Horizonte,-26.580715652126788,-51.57496281658496
Palmeira,-25.425716,-50.007027
Palmital,-24.885301,-52.202854
Palotina,-24.286784,-53.840422
Paranacity,-22.929713,-52.154946
Paranaguá,-25.516078,-48.522528
Paranapoema,-22.64124,-52.09052
Paranavaí,-23.08165,-52.461724
Paraíso do Norte,-23.28242,-52.605429
Pato Bragado,-24.624625,-54.228115
Pato Branco,-26.229237,-52.67063
Paula Freitas,-26.210513,-50.930983
Paulo Frontin,-26.046565,-50.830423
Peabiru,-23.914013,-52.343107
Perobal,-23.894861,-53.409838
Pinhais,-25.442949,-49.19267
Pinhal de São Bento,-26.032422,-53.481998
Pinhalão,-23.798176,-50.053571
Pinhão,-25.694388,-51.653595
Piraquara,-25.442171,-49.062411
Piraí do Sul,-24.530637,-49.943312
Pitanga,-24.758773,-51.759645
Pitangueiras,-23.228134,-51.587277
Piên,-26.09647,-49.433565
Planaltina do Paraná,-23.010146,-52.916242
Planalto,-25.721135,-53.764234
Ponta Grossa,-25.091622,-50.166787
Pontal do Paraná,-25.673533,-48.511062
Porecatu,-22.753724,-51.37949
Porto Amazonas,-25.540002,-49.894591
Porto Barreiro,-25.547696,-52.406744
Porto Rico,-22.774742,-53.267731
Porto Vitória,-26.167404,-51.230976
Prado Ferreira,-23.035698,-51.442883
Pranchita,-26.021968,-53.741112
Presidente Castelo Branco,-23.278233,-52.153563
Primeiro de Maio,-22.851714,-51.029251
Prudentópolis,-25.211083,-50.975396
Pérola,-23.803898,-53.683353
Pérola d`Oeste,-25.820958,-53.744742
Quarto Centenário,-24.277499,-53.075884
Quatiguá,-23.567056,-49.91601
Quatro Barras,-25.367317,-49.076306
Quatro Pontes,-24.575152,-53.975885
Quedas do Iguaçu,-25.449161,-52.910231
Querência do Norte,-23.083758,-53.483022
Quinta do Sol,-23.853272,-52.130908
Quitandinha,-25.873438,-49.497327
Ramilândia,-25.119472,-54.023015
Rancho Alegre,-23.067594,-50.914453
Rancho Alegre d`Oeste,-24.303548,-52.949883
Realeza,-25.771093,-53.52603
Rebouças,-25.623198,-50.687727
Renascença,-26.158837,-52.970349
Reserva,-24.649169,-50.846604
Reserva Natural Salto Morato,-25.169622922034883,-48.29754103993973
Reserva do Iguaçu,-25.831905,-52.027215
Ribeirão Claro,-23.194132,-49.759742
Ribeirão do Pinhal,-23.409068,-50.360145
Rio Azul,-25.73058,-50.798543
Rio Bom,-23.760583,-51.41224
Rio Bonito do Iguaçu,-25.487384,-52.529206
Rio Branco do Ivaí,-24.324449,-51.318684
Rio Branco do Sul,-25.189189,-49.311546
Rio Negro,-26.095021,-49.79823
Rolândia,-23.31012,-51.365928
Roncador,-24.595795,-52.271569
Rondon,-23.411958,-52.765877
Rosário do Ivaí,-24.26824,-51.272007
Sabáudia,-23.315512,-51.555005
Salgado Filho,-26.177664,-53.363116
Salto do Itararé,-23.607356,-49.635384
Salto do Lontra,-25.781257,-53.313528
Santa Amélia,-23.265421,-50.428765
Santa Cecília do Pavão,-23.520081,-50.783528
Santa Cruz de Monte Castelo,-22.954225,-53.296342
Santa Fé,-23.039993,-51.808014
Santa Helena,-24.858494,-54.33601
Santa Inês,-22.637595,-51.902385
Santa Isabel do Ivaí,-23.002482,-53.19889
Santa Izabel do Oeste,-25.821652,-53.480146
Santa Lúcia,-25.410355,-53.563796
Santa Maria do Oeste,-24.937701,-51.869564
Santa Mariana,-23.14652,-50.516728
Santa Mônica,-23.108005,-53.110297
Santa Tereza do Oeste,-25.054316,-53.627417
Santa Terezinha de Itaipu,-25.434417,-54.400725
Santana do Itararé,-23.758692,-49.629314
Santo Antônio da Platina,-23.295889,-50.081478
Santo Antônio do Caiuá,-22.735084,-52.344022
Santo Antônio do Paraíso,-23.496903,-50.645541
Santo Antônio do Sudoeste,-26.073708,-53.7251
Santo Inácio,-22.695666,-51.796937
Sapopema,-23.907832,-50.580062
Sarandi,-23.444117,-51.876016
Saudade do Iguaçu,-25.691686,-52.618391
Sengés,-24.112884,-49.461568
Serranópolis do Iguaçu,-25.379915,-54.051822
Sertaneja,-23.036095,-50.831656
Sertanópolis,-23.057057,-51.039948
Siqueira Campos,-23.687481,-49.830416
Sulina,-25.706553,-52.729869
São Carlos do Ivaí,-23.315828,-52.476143
São Jerônimo da Serra,-23.721765,-50.747536
São Jorge d`Oeste,-25.699002,-52.913092
São Jorge do Ivaí,-23.433592,-52.292907
São Jorge do Patrocínio,-23.764744,-53.882275
São José da Boa Vista,-23.912195,-49.657667
São José das Palmeiras,-24.836883,-54.057225
São José dos Pinhais,-25.531343,-49.203097
São João,-25.821375,-52.72524
São João do Caiuá,-22.853502,-52.341065
São João do Ivaí,-23.983281,-51.821544
São João do Triunfo,-25.682971,-50.29492
São Manoel do Paraná,-23.394137,-52.645376
São Mateus do Sul,-25.867655,-50.383985
São Miguel do Iguaçu,-25.349171,-54.240498
São Pedro do Iguaçu,-24.937311,-53.852141
São Pedro do Ivaí,-23.863394,-51.856775
São Pedro do Paraná,-22.823882,-53.224141
São Sebastião da Amoreira,-23.46564,-50.762536
São Tomé,-23.534946,-52.590125
Tamarana,-23.720365,-51.099054
