Cidade,latitude,longitude
Catuti,-15.361574,-42.962704
Caxambu,-21.975253,-44.931855
Cedro do Abaeté,-19.145767,-45.711994
Central de Minas,-18.761195,-41.314331
Centralina,-18.585217,-49.201397
Chalé,-20.045328,-41.689714
Chapada Gaúcha,-15.301373,-45.611616
Chapada do Norte,-17.088119,-42.539187
Chiador,-21.999572,-43.061671
Chácara,-21.673256,-43.21499
Cipotânea,-20.902598,-43.362904
Claraval,-20.397011,-47.276828
Claro dos Poções,-17.08203,-44.206097
Cláudio,-20.443672,-44.767332
Coimbra,-20.853505,-42.800807
Coluna,-18.23108,-42.835185
Comendador Gomes,-19.697342,-49.078894
Comercinho,-16.296258,-41.794536
Conceição da Aparecida,-21.096024,-46.20491
Conceição da Barra de Minas,-21.131558,-44.472901
Conceição das Alagoas,-19.917155,-48.38394
Conceição das Pedras,-22.157647,-45.456238
Conceição de Ipanema,-19.932584,-41.690756
Conceição do Mato Dentro,-19.03441,-43.422082
Conceição do Pará,-19.745599,-44.894511
Conceição do Rio Verde,-21.877836,-45.08703
Conceição dos Ouros,-22.407845,-45.799599
Confins,-19.628183,-43.993148
Congonhal,-22.148753,-46.043031
Congonhas,-20.495844,-43.851012
Congonhas do Norte,-18.802053,-43.67672
Conquista,-19.931182,-47.549196
Conselheiro Lafaiete,-20.663445,-43.784609
Conselheiro Pena,-19.178914,-41.473554
Consolação,-22.54929,-45.925459
Contagem,-19.932079,-44.05392
Coqueiral,-21.185757,-45.436568
Coração de Jesus,-16.684067,-44.363517
Cordisburgo,-19.122393,-44.322415
Cordislândia,-21.789099,-45.699879
Corinto,-18.368967,-44.454181
Coroaci,-18.61557,-42.279099
Coromandel,-18.473364,-47.193348
Coronel Fabriciano,-19.517879,-42.627585
Coronel Murta,-16.614847,-42.183952
Coronel Pacheco,-21.589751,-43.255989
Coronel Xavier Chaves,-21.027724,-44.2206
Couto de Magalhães de Minas,-18.07272,-43.464821
Cristais,-20.87328,-45.516727
Cristiano Otoni,-20.832421,-43.816552
Cristina,-22.207982,-45.267266
Cristália,-16.716014,-42.85712
Crisólita,-17.238124,-40.918392
Crucilândia,-20.392314,-44.333425
Cruzeiro da Fortaleza,-18.944029,-46.666891
Cruzília,-21.839985,-44.806678
Cuparaque,-18.964827,-41.098621
Curral de Dentro,-15.932709,-41.855684
Curvelo,-18.752731,-44.430259
Cássia,-20.583061,-46.920122
Córrego Danta,-19.819775,-45.903228
Córrego Fundo,-20.447422,-45.561742
Córrego Novo,-19.836096,-42.398816
Córrego do Bom Jesus,-22.626882,-46.024113
Cônego Marinho,-15.289172,-44.418059
Datas,-18.447761,-43.659085
Delfim Moreira,-22.503632,-45.279231
Delfinópolis,-20.34677,-46.845554
Delta,-19.972143,-47.78408
Descoberto,-21.45999,-42.961766
Desterro de Entre Rios,-20.66504,-44.333388
Desterro do Melo,-21.142995,-43.517834
Diamantina,-18.241315,-43.603099
Diogo de Vasconcelos,-20.487903,-43.195253
Dionísio,-19.843252,-42.770087
Divino,-20.613405,-42.143801
Divino das Laranjeiras,-18.775491,-41.478081
Divinolândia de Minas,-18.80038,-42.610345
Divinésia,-20.991709,-43.000263
Divinópolis,-20.144646,-44.891223
Divisa Alegre,-15.722071,-41.346291
Divisa Nova,-21.50916,-46.190385
Divisópolis,-15.72535,-40.99969
Dom Bosco,-16.651957,-46.259725
Dom Cavati,-19.373457,-42.112132
Dom Joaquim,-18.961036,-43.254382
Dom Silvério,-20.162726,-42.962673
Dom Viçoso,-22.25111,-45.164317
Dona Eusébia,-21.319,-42.807048
Dores de Campos,-21.113944,-44.02068
Dores de Guanhães,-19.051607,-42.925373
Dores do Indaiá,-19.462789,-45.592741
Dores do Turvo,-20.978477,-43.18343
Doresópolis,-20.286828,-45.900725
Douradoquara,-18.433784,-47.59931
Durandé,-20.205817,-41.79772
Elói Mendes,-21.608806,-45.569064
Engenheiro Caldas,-19.206497,-42.050305
Engenheiro Navarro,-17.283128,-43.946966
Entre Folhas,-19.621811,-42.230555
Entre Rios de Minas,-20.67063,-44.065392
Ervália,-20.840258,-42.654422
Esmeraldas,-19.76402,-44.306485
Espera Feliz,-20.650762,-41.911927
Espinosa,-14.924948,-42.809015
Espírito Santo do Dourado,-22.045368,-45.95477
Estiva,-22.457694,-46.01905
Estrela Dalva,-21.741231,-42.45743
Estrela do Indaiá,-19.516888,-45.78595
Estrela do Sul,-18.73994,-47.695643
Eugenópolis,-21.100153,-42.187834
Ewbank da Câmara,-21.549819,-43.506803
Extrema,-22.853991,-46.317816
Fama,-21.408898,-45.828617
Faria Lemos,-20.809745,-42.021317
Felisburgo,-16.634828,-40.760502
Felixlândia,-18.750669,-44.900376
Felício dos Santos,-18.075546,-43.242206
Fernandes Tourinho,-19.154087,-42.080259
Ferros,-19.234309,-43.019232
Fervedouro,-20.726,-42.278997
Florestal,-19.888043,-44.431758
Formiga,-20.461819,-45.426793
Formoso,-14.944633,-46.237075
Fortaleza de Minas,-20.850765,-46.712029
Fortuna de Minas,-19.557755,-44.447177
Francisco Badaró,-16.988284,-42.356813
Francisco Dumont,-17.310678,-44.23171
Francisco Sá,-16.482729,-43.489615
Franciscópolis,-17.957766,-42.009382
Frei Gaspar,-18.070898,-41.432522
Frei Inocêncio,-18.555602,-41.912087
Frei Lagonegro,-18.1751,-42.761711
Fronteira,-20.274848,-49.198423
Fronteira dos Vales,-16.889807,-40.922992
Fruta de Leite,-16.122458,-42.528772
Frutal,-20.025875,-48.935497
Funilândia,-19.36613,-44.060976
Galiléia,-19.000464,-41.538653
Gameleiras,-15.082855,-43.124982
Glaucilândia,-16.848056,-43.691952
Goiabeira,-18.980659,-41.223526
Goianá,-21.536045,-43.195664
Gonzaga,-18.819608,-42.476908
Gonçalves,-22.654535,-45.855566
Gouveia,-18.451944,-43.742294
Governador Valadares,-18.854452,-41.95553
Grupiara,-18.500302,-47.731787
Grão Mogol,-16.566232,-42.892306
Guanhães,-18.771284,-42.931231
Guapé,-20.763079,-45.915233
Guaraciaba,-20.571571,-43.009389
Guaraciama,-17.014173,-43.667525
Guarani,-21.356334,-43.032777
Guaranésia,-21.300921,-46.796352
Guarará,-21.730352,-43.033434
Guarda-Mor,-17.767307,-47.099756
Guaxupé,-21.305007,-46.708053
Guidoval,-21.155034,-42.788746
Guimarânia,-18.84246,-46.790145
Guiricema,-21.00985,-42.720659
Gurinhatã,-19.214281,-49.787631
Heliodora,-22.064401,-45.545325
Iapu,-19.438704,-42.214725
Ibertioga,-21.433032,-43.963896
Ibiaí,-16.859077,-44.904622
Ibiracatu,-15.660525,-44.166707
Ibiraci,-20.461058,-47.12215
Ibirité,-20.025188,-44.056882
Ibitiúra de Minas,-22.060402,-46.43681
Ibituruna,-21.15414,-44.747913
Ibiá,-19.474948,-46.547406
Icaraí de Minas,-16.213968,-44.903359
Igarapé,-20.070671,-44.299449
Igaratinga,-19.947597,-44.706324
Iguatama,-20.17763,-45.711114
Ijaci,-21.173785,-44.923265
Ilicínea,-20.940222,-45.830849
Imbé de Minas,-19.601721,-41.969455
Inconfidentes,-22.313561,-46.326412
Indaiabira,-15.491056,-42.200514
Indianópolis,-19.034141,-47.915457
Ingaí,-21.402428,-44.915158
Inhapim,-19.54755,-42.114721
Inhaúma,-19.489843,-44.393394
Inimutaba,-18.727128,-44.358373
Ipaba,-19.415819,-42.413923
Ipanema,-19.799152,-41.716449
Ipatinga,-19.470275,-42.547612
Ipiaçu,-18.692716,-49.943614
Ipuiúna,-22.101264,-46.191495
Iraí de Minas,-18.981948,-47.460972
Itabira,-19.623936,-43.23123
Itabirinha,-18.569104,-41.232597
Itabirito,-20.250132,-43.803846
Itacambira,-17.062469,-43.306933
Itacarambi,-15.089028,-44.095005
Itaguara,-20.394695,-44.487507
Itaipé,-17.401419,-41.669654
Itajubá,-22.422481,-45.459818
Itamarandiba,-17.855157,-42.85612
Itamarati de Minas,-21.417935,-42.812969
Itambacuri,-18.03496,-41.682979
Itambé do Mato Dentro,-19.415761,-43.31825
Itamogi,-21.075824,-47.045962
Itamonte,-22.285912,-44.868021
Itanhandu,-22.294191,-44.938243
Itanhomi,-19.173587,-41.863017
Itaobim,-16.55707,-41.501692
Itapagipe,-19.906163,-49.378137
Itapecerica,-20.470372,-45.126994
Itapeva,-22.766488,-46.224053
Itatiaiuçu,-20.198257,-44.421081
Itaverava,-20.676853,-43.614106
Itaú de Minas,-20.737499,-46.752512
Itaúna,-20.081798,-44.580112
Itinga,-16.609972,-41.767194
Itueta,-19.399935,-41.174619
Ituiutaba,-18.977191,-49.463945
Itumirim,-21.317054,-44.872364
Iturama,-19.727566,-50.19656
Itutinga,-21.300017,-44.656731
Jaboticatubas,-19.511938,-43.737257
Jacinto,-16.142756,-40.294991
Jacutinga,-22.28597,-46.616575
Jacuí,-21.013662,-46.73588
Jaguaraçu,-19.647001,-42.74982
Jampruca,-18.461016,-41.809049
Janaúba,-15.802228,-43.313168
Januária,-15.480154,-44.363889
Japaraíba,-20.144184,-45.50151
Japonvar,-15.989139,-44.275829
Jaíba,-15.343224,-43.668802
Jeceaba,-20.533852,-43.989394
Jenipapo de Minas,-17.083129,-42.258934
Jequeri,-20.454229,-42.665064
Jequitaí,-17.229025,-44.437588
Jequitibá,-19.234491,-44.0304
Jequitinhonha,-16.437482,-41.011717
Jesuânia,-21.988655,-45.291122
Joanésia,-19.172897,-42.677481
Joaquim Felício,-17.758022,-44.164274
Joaíma,-16.652189,-41.022873
Jordânia,-15.900924,-40.184051
Josenópolis,-16.541697,-42.515056
José Gonçalves de Minas,-16.905329,-42.601384
José Raydan,-18.219505,-42.494643
João Monlevade,-19.812646,-43.173463
João Pinheiro,-17.739768,-46.17154
Juatuba,-19.94484,-44.34505
Juiz de Fora,-21.75952,-43.339759
Juramento,-16.847322,-43.586457
Juruaia,-21.24931,-46.573541
Juvenília,-14.266238,-44.159656
Ladainha,-17.627886,-41.748824
Lagamar,-18.175918,-46.806343
Lagoa Dourada,-20.913858,-44.079717
Lagoa Formosa,-18.771489,-46.401236
Lagoa Grande,-17.832265,-46.516519
Lagoa Santa,-19.63967,-43.893216
Lagoa da Prata,-20.023728,-45.540149
Lagoa dos Patos,-16.977954,-44.575374
Lajinha,-20.153941,-41.622818
Lambari,-21.967088,-45.349822
Lamim,-20.789999,-43.470615
Laranjal,-21.371478,-42.473151
Lassance,-17.88698,-44.573491
Lavras,-21.248002,-45.000949
Leandro Ferreira,-19.719307,-45.027855
Leme do Prado,-17.079273,-42.69357
Leopoldina,-21.52963,-42.642123
Liberdade,-22.027491,-44.320752
Lima Duarte,-21.838597,-43.793412
Limeira do Oeste,-19.551212,-50.581489
Lontra,-15.901295,-44.306037
Luisburgo,-20.446753,-42.097642
Luislândia,-16.109483,-44.588579
Luminárias,-21.514485,-44.903384
Luz,-19.791085,-45.679444
Machacalis,-17.072273,-40.724476
Machado,-21.677757,-45.921855
Madre de Deus de Minas,-21.483017,-44.32873
Malacacheta,-17.845647,-42.076907
Mamonas,-15.047941,-42.946858
Manga,-14.752892,-43.939053
Manhuaçu,-20.257226,-42.027987
Manhumirim,-20.359116,-41.958933
Mantena,-18.776071,-40.987368
Mar de Espanha,-21.870728,-43.006206
Maravilhas,-19.507627,-44.677875
Maria da Fé,-22.304417,-45.377277
Mariana,-20.376514,-43.414034
Marilac,-18.507897,-42.082207
Maripá de Minas,-21.697919,-42.954589
Marliéria,-19.709601,-42.732693
Marmelópolis,-22.447004,-45.164541
Martinho Campos,-19.330573,-45.243411
Martins Soares,-20.254562,-41.878592
Mata Verde,-15.686917,-40.736559
Materlândia,-18.469911,-43.0579
Mateus Leme,-19.979424,-44.431831
Mathias Lobato,-18.590035,-41.916564
Matias Barbosa,-21.868953,-43.313475
Matias Cardoso,-14.856304,-43.914565
Matipó,-20.287264,-42.340145
Mato Verde,-15.394396,-42.859984
Matozinhos,-19.554318,-44.086786
Matutina,-19.217912,-45.96635
Medeiros,-19.98651,-46.218053
Medina,-16.224538,-41.472764
Mendes Pimentel,-18.663116,-41.405228
Mercês,-21.197585,-43.333662
Mesquita,-19.224022,-42.607877
Minas Novas,-17.215603,-42.588435
Minduri,-21.679714,-44.605096
Mirabela,-16.256022,-44.160208
Miradouro,-20.889946,-42.345837
Miravânia,-14.734772,-44.409243
Miraí,-21.20214,-42.612209
Moeda,-20.339868,-44.050947
Moema,-19.838731,-45.412687
Monjolos,-18.324472,-44.117976
Monsenhor Paulo,-21.757885,-45.539055
Montalvânia,-14.419689,-44.371881
Monte Alegre de Minas,-18.869048,-48.881023
Monte Azul,-15.151362,-42.871768
Monte Belo,-21.327084,-46.363462
Monte Carmelo,-18.730245,-47.491228
Monte Formoso,-16.869145,-41.247306
Monte Santo de Minas,-21.18731,-46.975314
Monte Sião,-22.433538,-46.57298
Montes Claros,-16.728177,-43.857809
Montezuma,-15.170233,-42.494074
Morada Nova de Minas,-18.599774,-45.358403
Morro da Garça,-18.53559,-44.601043
Morro do Pilar,-19.223625,-43.379465
Munhoz,-22.609172,-46.36197
Muriaé,-21.129965,-42.369304
Mutum,-19.812099,-41.440689
Muzambinho,-21.369155,-46.5213
Mário Campos,-20.058155,-44.188324
Nacip Raydan,-18.454436,-42.248121
Nanuque,-17.848111,-40.353287
Naque,-19.229132,-42.33119
Natalândia,-16.50215,-46.487365
Natércia,-22.115754,-45.512284
Nazareno,-21.216779,-44.6138
Nepomuceno,-21.232415,-45.234956
Ninheira,-15.314771,-41.756367
Nova Belém,-18.492517,-41.11067
Nova Era,-19.757738,-43.033267
Nova Lima,-19.975763,-43.850854
